Municipality,Province,Gender,Registered voters (2019),Registered voters (2022),Change,Percentage change
Almeria,Biliran,FEMALE,6291.0,6427,136.0,2.16
Almeria,Biliran,MALE,6046.0,6191,145.0,2.4
Aloguinsan,Cebu,FEMALE,10970.0,10699,-271.0,-2.47
Aloguinsan,Cebu,MALE,10817.0,10552,-265.0,-2.45
Aloran,Misamis Occidental,FEMALE,10686.0,10621,-65.0,-0.61
Aloran,Misamis Occidental,MALE,10591.0,10537,-54.0,-0.51
Altavas,Aklan,FEMALE,8902.0,9050,148.0,1.66
Altavas,Aklan,MALE,8546.0,8943,397.0,4.65
Alubijid,Misamis Oriental,FEMALE,10322.0,10720,398.0,3.86
Alubijid,Misamis Oriental,MALE,10314.0,10896,582.0,5.64
Amadeo,Cavite,FEMALE,13531.0,14585,1054.0,7.79
Amadeo,Cavite,MALE,13186.0,14125,939.0,7.12
Amai Manabilang (Bumbaran),Lanao Del Sur,FEMALE,2535.0,2782,247.0,9.74
Amai Manabilang (Bumbaran),Lanao Del Sur,MALE,2963.0,3193,230.0,7.76
Ambaguio,Nueva Vizcaya,FEMALE,3197.0,3470,273.0,8.54
Ambaguio,Nueva Vizcaya,MALE,3603.0,3951,348.0,9.66
Amlan (Ayuquitan),Negros Oriental,FEMALE,8739.0,9347,608.0,6.96
Amlan (Ayuquitan),Negros Oriental,MALE,8191.0,9017,826.0,10.08
Ampatuan,Maguindanao,FEMALE,7080.0,8167,1087.0,15.35
Ampatuan,Maguindanao,MALE,7950.0,9291,1341.0,16.87
Amulung,Cagayan,FEMALE,15248.0,15868,620.0,4.07
Amulung,Cagayan,MALE,15492.0,16270,778.0,5.02
Anahawan,Southern Leyte,FEMALE,3072.0,3046,-26.0,-0.85
Anahawan,Southern Leyte,MALE,3034.0,3121,87.0,2.87
Anao,Tarlac,FEMALE,4284.0,4599,315.0,7.35
Anao,Tarlac,MALE,4079.0,4451,372.0,9.12
Anda,Bohol,FEMALE,6695.0,6940,245.0,3.66
Anda,Bohol,MALE,6618.0,6877,259.0,3.91
Anda,Pangasinan,FEMALE,13295.0,13586,291.0,2.19
Anda,Pangasinan,MALE,13207.0,13442,235.0,1.78
Angadanan,Isabela,FEMALE,13974.0,14625,651.0,4.66
Angadanan,Isabela,MALE,14203.0,15043,840.0,5.91
Angat,Bulacan,FEMALE,21086.0,21889,803.0,3.81
Angat,Bulacan,MALE,19455.0,20347,892.0,4.58
Angeles City,Pampanga,FEMALE,105838.0,109787,3949.0,3.73
Angeles City,Pampanga,MALE,92939.0,96035,3096.0,3.33
Angono,Rizal,FEMALE,41166.0,38269,-2897.0,-7.04
Angono,Rizal,MALE,35183.0,32179,-3004.0,-8.54
Anilao,Iloilo,FEMALE,9241.0,9559,318.0,3.44
Anilao,Iloilo,MALE,9218.0,9616,398.0,4.32
Anini-Y,Antique,FEMALE,6936.0,7242,306.0,4.41
Anini-Y,Antique,MALE,6577.0,6955,378.0,5.75
Antequera,Bohol,FEMALE,4958.0,5127,169.0,3.41
Antequera,Bohol,MALE,4767.0,5012,245.0,5.14
Antipas,Cotabato (North Cotabato),FEMALE,8726.0,8671,-55.0,-0.63
Antipas,Cotabato (North Cotabato),MALE,9025.0,9054,29.0,0.32
Apalit,Pampanga,FEMALE,30017.0,32272,2255.0,7.51
Apalit,Pampanga,MALE,27777.0,29811,2034.0,7.32
