province,generation,registered_voters
Ilocos Sur ,Generation Z,112602
Ilocos Sur ,Millennials (Gen Y),153651
Iloilo,Baby Boomers and older,326817
Iloilo,Generation X,399740
Iloilo,Generation Z,390183
Iloilo,Millennials (Gen Y),532990
Isabela   ,Baby Boomers and older,201488
Isabela   ,Generation X,282044
Isabela   ,Generation Z,270834
Isabela   ,Millennials (Gen Y),371175
Kalinga ,Baby Boomers and older,25558
Kalinga ,Generation X,35779
Kalinga ,Generation Z,42070
Kalinga ,Millennials (Gen Y),55148
La Union,Baby Boomers and older,480439
La Union,Generation X,652199
La Union,Generation Z,681427
La Union,Millennials (Gen Y),896515
Laguna ,Baby Boomers and older,347151
Laguna ,Generation X,550279
Laguna ,Generation Z,484095
Laguna ,Millennials (Gen Y),758599
Lanao Del Norte  ,Baby Boomers and older,94223
Lanao Del Norte  ,Generation X,138307
Lanao Del Norte  ,Generation Z,142491
Lanao Del Norte  ,Millennials (Gen Y),198240
Lanao Del Sur,Baby Boomers and older,75229
Lanao Del Sur,Generation X,135951
Lanao Del Sur,Generation Z,216597
Lanao Del Sur,Millennials (Gen Y),279142
Leyte ,Baby Boomers and older,252228
Leyte ,Generation X,326198
Leyte ,Generation Z,360621
Leyte ,Millennials (Gen Y),462007
Maguindanao Del Norte,Baby Boomers and older,77373
Maguindanao Del Norte,Generation X,120781
Maguindanao Del Norte,Generation Z,132334
Maguindanao Del Norte,Millennials (Gen Y),200038
Maguindanao Del Sur,Baby Boomers and older,55743
Maguindanao Del Sur,Generation X,101543
Maguindanao Del Sur,Generation Z,112313
Maguindanao Del Sur,Millennials (Gen Y),182088
Marinduque ,Baby Boomers and older,34007
Marinduque ,Generation X,40416
Marinduque ,Generation Z,41050
Marinduque ,Millennials (Gen Y),49963
Masbate  ,Baby Boomers and older,96764
Masbate  ,Generation X,135375
Masbate  ,Generation Z,188652
Masbate  ,Millennials (Gen Y),198383
Misamis Occidental,Baby Boomers and older,84326
Misamis Occidental,Generation X,105788
Misamis Occidental,Generation Z,110289
Misamis Occidental,Millennials (Gen Y),136998
Misamis Oriental ,Baby Boomers and older,175680
Misamis Oriental ,Generation X,264751
Misamis Oriental ,Generation Z,283134
Misamis Oriental ,Millennials (Gen Y),382732
Mountain Province  ,Baby Boomers and older,21677
Mountain Province  ,Generation X,26844
Mountain Province  ,Generation Z,29842
Mountain Province  ,Millennials (Gen Y),43284
NCR,Baby Boomers and older,1324763
NCR,Generation X,1981798
NCR,Generation Z,1601462
NCR,Millennials (Gen Y),2655497
Negros Occidental  ,Baby Boomers and older,373936
Negros Occidental  ,Generation X,494553
Negros Occidental  ,Generation Z,470817
Negros Occidental  ,Millennials (Gen Y),662426
Negros Oriental  ,Baby Boomers and older,185993
Negros Oriental  ,Generation X,231398
