Region,Province,Municipality,2019 voters,2022 voters,2025 voters,Change from 2022 to 2025,Percentage change from 2022 to 2025,Change from 2019 to 2025,Percentage change from 2019 to 2025
REGION II,Quirino,Diffun,"30,002","30,640","32,761","2,121",6.92,"2,759",9.2
REGION II,Quirino,Maddela,"23,656","25,180","26,037",857,3.4,"2,381",10.07
REGION II,Quirino,Nagtipunan,"15,002","17,227","19,251","2,024",11.75,"4,249",28.32
REGION II,Quirino,Saguday,"10,307","10,845","11,196",351,3.24,889,8.63
REGION IV-A,Rizal,Angono,"76,349","70,448","70,071",-377,-0.54,"-6,278",-8.22
REGION IV-A,Rizal,Antipolo City,"482,062","471,250","455,797","-15,453",-3.28,"-26,265",-5.45
REGION IV-A,Rizal,Baras,"40,801","46,282","50,015","3,733",8.07,"9,214",22.58
REGION IV-A,Rizal,Binangonan,"144,523","136,815","145,638","8,823",6.45,"1,115",0.77
REGION IV-A,Rizal,Cainta,"170,015","161,747","177,532","15,785",9.76,"7,517",4.42
REGION IV-A,Rizal,Cardona,"29,006","31,963","32,340",377,1.18,"3,334",11.49
REGION IV-A,Rizal,Jala-jala,"21,291","22,212","23,709","1,497",6.74,"2,418",11.36
REGION IV-A,Rizal,Morong,"38,988","41,363","41,727",364,0.88,"2,739",7.03
REGION IV-A,Rizal,Pililla,"38,865","38,743","40,376","1,633",4.21,"1,511",3.89
REGION IV-A,Rizal,Rodriguez,"209,134","201,452","219,447","17,995",8.93,"10,313",4.93
REGION IV-A,Rizal,San Mateo,"106,418","110,276","134,335","24,059",21.82,"27,917",26.23
REGION IV-A,Rizal,Tanay,"69,466","70,360","71,870","1,510",2.15,"2,404",3.46
REGION IV-A,Rizal,Taytay,"153,664","152,944","161,880","8,936",5.84,"8,216",5.35
REGION IV-A,Rizal,Teresa,"40,027","46,107","46,906",799,1.73,"6,879",17.19
REGION IV-B,Romblon,Alcantara,"11,174","11,769","11,886",117,0.99,712,6.37
REGION IV-B,Romblon,Banton,"3,990","3,963","3,707",-256,-6.46,-283,-7.09
REGION IV-B,Romblon,Cajidiocan,"13,348","14,136","14,684",548,3.88,"1,336",10.01
REGION IV-B,Romblon,Calatrava,"7,401","7,807","8,189",382,4.89,788,10.65
REGION IV-B,Romblon,Concepcion,"3,433","3,375","3,249",-126,-3.73,-184,-5.36
REGION IV-B,Romblon,Corcuera,"6,654","6,505","6,468",-37,-0.57,-186,-2.8
REGION IV-B,Romblon,Ferrol,"4,583","5,078","5,410",332,6.54,827,18.04
REGION IV-B,Romblon,Looc,"14,885","15,419","15,595",176,1.14,710,4.77
REGION IV-B,Romblon,Magdiwang,"9,623","10,091","10,215",124,1.23,592,6.15
REGION IV-B,Romblon,Odiongan,"29,211","31,538","33,100","1,562",4.95,"3,889",13.31
REGION IV-B,Romblon,Romblon,"24,947","26,229","27,273","1,044",3.98,"2,326",9.32
REGION IV-B,Romblon,San Agustin,"15,279","16,002","16,260",258,1.61,981,6.42
REGION IV-B,Romblon,San Andres,"11,253","11,600","12,090",490,4.22,837,7.44
REGION IV-B,Romblon,San Fernando,"17,132","16,674","16,984",310,1.86,-148,-0.86
REGION IV-B,Romblon,San Jose,"7,140","7,592","7,584",-8,-0.11,444,6.22
REGION IV-B,Romblon,Santa Fe,"11,628","11,853","11,926",73,0.62,298,2.56
REGION IV-B,Romblon,Santa Maria,"6,397","6,488","6,716",228,3.51,319,4.99
REGION VIII,Samar,Almagro,"10,350","10,174","11,575","1,401",13.77,"1,225",11.84
REGION VIII,Samar,Basey,"36,243","39,576","40,965","1,389",3.51,"4,722",13.03
REGION VIII,Samar,Calbayog City,"127,638","135,960","151,946","15,986",11.76,"24,308",19.04
REGION VIII,Samar,Calbiga,"16,855","17,655","18,174",519,2.94,"1,319",7.83
REGION VIII,Samar,Catbalogan City,"66,348","75,781","70,642","-5,139",-6.78,"4,294",6.47
REGION VIII,Samar,Daram,"29,459","29,006","29,283",277,0.95,-176,-0.6
REGION VIII,Samar,Gandara,"25,511","26,753","29,030","2,277",8.51,"3,519",13.79
REGION VIII,Samar,Hinabangan,"11,171","11,587","12,012",425,3.67,841,7.53
REGION VIII,Samar,Jiabong,"14,189","15,703","14,768",-935,-5.95,579,4.08
REGION VIII,Samar,Marabut,"13,986","13,458","13,556",98,0.73,-430,-3.07
REGION VIII,Samar,Matuguinao,"5,960","6,276","6,241",-35,-0.56,281,4.71
REGION VIII,Samar,Motiong,"10,844","11,122","12,064",942,8.47,"1,220",11.25
REGION VIII,Samar,Pagsanghan,"8,326","8,050","8,065",15,0.19,-261,-3.13
REGION VIII,Samar,Paranas,"22,259","23,205","24,414","1,209",5.21,"2,155",9.68
REGION VIII,Samar,Pinabacdao,"13,058","13,536","13,450",-86,-0.64,392,3
REGION VIII,Samar,San Jorge,"13,216","14,153","15,976","1,823",12.88,"2,760",20.88
REGION VIII,Samar,San Jose de Buan,"5,521","6,377","6,109",-268,-4.2,588,10.65
REGION VIII,Samar,San Sebastian,"6,511","7,050","7,746",696,9.87,"1,235",18.97
REGION VIII,Samar,Santa Margarita,"18,605","20,261","24,881","4,620",22.8,"6,276",33.73
REGION VIII,Samar,Santa Rita,"28,882","30,452","30,628",176,0.58,"1,746",6.05
REGION VIII,Samar,Santo Nino,"11,263","11,275","12,640","1,365",12.11,"1,377",12.23
REGION VIII,Samar,Tagapul-an,"7,862","7,871","7,531",-340,-4.32,-331,-4.21
REGION VIII,Samar,Talalora,"6,831","6,941","6,987",46,0.66,156,2.28
REGION VIII,Samar,Tarangnan,"19,236","19,761","21,871","2,110",10.68,"2,635",13.7
REGION VIII,Samar,Villareal,"19,663","20,975","21,480",505,2.41,"1,817",9.24
REGION VIII,Samar,Zumarraga,"13,346","14,332","13,509",-823,-5.74,163,1.22
REGION XII,Sarangani,Alabel,"52,095","54,436","59,895","5,459",10.03,"7,800",14.97
REGION XII,Sarangani,Glan,"67,950","77,140","80,443","3,303",4.28,"12,493",18.39
REGION XII,Sarangani,Kiamba,"39,912","39,991","40,377",386,0.97,465,1.17
REGION XII,Sarangani,Maasim,"38,550","41,677","43,839","2,162",5.19,"5,289",13.72
REGION XII,Sarangani,Maitum,"32,631","29,218","29,827",609,2.08,"-2,804",-8.59
REGION XII,Sarangani,Malapatan,"42,447","44,718","47,752","3,034",6.78,"5,305",12.5
REGION XII,Sarangani,Malungon,"72,319","74,875","71,045","-3,830",-5.12,"-1,274",-1.76
NEGROS ISLAND REGION (NIR),Siquijor,Enrique Villanueva,"5,329","5,343","6,035",692,12.95,706,13.25
NEGROS ISLAND REGION (NIR),Siquijor,Larena,"11,490","11,962","11,960",-2,-0.02,470,4.09
NEGROS ISLAND REGION (NIR),Siquijor,Lazi,"15,827","16,139","16,597",458,2.84,770,4.87
NEGROS ISLAND REGION (NIR),Siquijor,Maria,"11,157","11,128","11,532",404,3.63,375,3.36
NEGROS ISLAND REGION (NIR),Siquijor,San Juan,"11,325","12,007","12,640",633,5.27,"1,315",11.61
NEGROS ISLAND REGION (NIR),Siquijor,Siquijor,"21,097","21,879","22,640",761,3.48,"1,543",7.31
REGION V,Sorsogon,Barcelona,"15,572","16,497","16,676",179,1.09,"1,104",7.09
REGION V,Sorsogon,Bulan,"59,913","67,070","68,905","1,835",2.74,"8,992",15.01
REGION V,Sorsogon,Bulusan,"17,085","17,391","17,695",304,1.75,610,3.57
REGION V,Sorsogon,Casiguran,"21,359","22,747","23,665",918,4.04,"2,306",10.8
REGION V,Sorsogon,Castilla,"35,549","37,996","39,325","1,329",3.5,"3,776",10.62
REGION V,Sorsogon,Donsol,"27,794","30,878","32,811","1,933",6.26,"5,017",18.05
REGION V,Sorsogon,Gubat,"38,282","40,820","41,722",902,2.21,"3,440",8.99
REGION V,Sorsogon,Irosin,"36,479","39,689","41,494","1,805",4.55,"5,015",13.75
REGION V,Sorsogon,Juban,"21,880","23,521","24,717","1,196",5.08,"2,837",12.97
REGION V,Sorsogon,Magallanes,"22,949","24,718","24,920",202,0.82,"1,971",8.59
REGION V,Sorsogon,Matnog,"27,105","30,676","30,571",-105,-0.34,"3,466",12.79
REGION V,Sorsogon,Pilar,"42,952","46,491","47,491","1,000",2.15,"4,539",10.57
REGION V,Sorsogon,Prieto Diaz,"14,361","15,553","16,379",826,5.31,"2,018",14.05
REGION V,Sorsogon,Santa Magdalena,"11,780","12,333","12,729",396,3.21,949,8.06
REGION V,Sorsogon,Sorsogon City,"100,056","111,702","114,140","2,438",2.18,"14,084",14.08
REGION XII,South Cotabato,Banga,"51,205","54,847","56,428","1,581",2.88,"5,223",10.2
REGION XII,South Cotabato,General Santos City,"301,106","360,232","368,454","8,222",2.28,"67,348",22.37
REGION XII,South Cotabato,Koronadal City,"108,358","122,724","126,262","3,538",2.88,"17,904",16.52
REGION XII,South Cotabato,Lake Sebu,"40,126","45,933","50,183","4,250",9.25,"10,057",25.06
REGION XII,South Cotabato,Norala,"28,650","29,864","30,468",604,2.02,"1,818",6.35
REGION XII,South Cotabato,Polomolok,"99,820","116,767","114,676","-2,091",-1.79,"14,856",14.88
REGION XII,South Cotabato,Santo Nino,"25,112","25,071","25,676",605,2.41,564,2.25
REGION XII,South Cotabato,Surallah,"53,120","55,611","56,248",637,1.15,"3,128",5.89
REGION XII,South Cotabato,T'boli,"54,040","58,790","59,769",979,1.67,"5,729",10.6
REGION XII,South Cotabato,Tampakan,"26,995","28,820","30,461","1,641",5.69,"3,466",12.84
REGION XII,South Cotabato,Tantangan,"26,311","28,911","28,827",-84,-0.29,"2,516",9.56
REGION XII,South Cotabato,Tupi,"45,216","47,971","50,301","2,330",4.86,"5,085",11.25
REGION VIII,Southern Leyte,Anahawan,"6,106","6,167","6,411",244,3.96,305,5
REGION VIII,Southern Leyte,Bontoc,"20,361","20,982","21,823",841,4.01,"1,462",7.18
REGION VIII,Southern Leyte,Hinunangan,"21,314","21,548","22,008",460,2.13,694,3.26
REGION VIII,Southern Leyte,Hinundayan,"9,524","9,656","10,122",466,4.83,598,6.28
REGION VIII,Southern Leyte,Libagon,"10,729","10,711","11,008",297,2.77,279,2.6
REGION VIII,Southern Leyte,Liloan,"16,085","15,377","15,341",-36,-0.23,-744,-4.63
REGION VIII,Southern Leyte,Limasawa,"4,452","4,407","4,436",29,0.66,-16,-0.36
REGION VIII,Southern Leyte,Maasin City,"56,522","56,888","56,852",-36,-0.06,330,0.58
REGION VIII,Southern Leyte,Macrohon,"18,141","18,201","18,719",518,2.85,578,3.19
REGION VIII,Southern Leyte,Malitbog,"13,266","13,042","13,277",235,1.8,11,0.08
REGION VIII,Southern Leyte,Padre Burgos,"7,699","7,840","7,831",-9,-0.11,132,1.71
REGION VIII,Southern Leyte,Pintuyan,"7,898","7,848","8,456",608,7.75,558,7.07
REGION VIII,Southern Leyte,Saint Bernard,"18,527","18,603","18,923",320,1.72,396,2.14
REGION VIII,Southern Leyte,San Francisco,"9,318","9,638","10,427",789,8.19,"1,109",11.9
REGION VIII,Southern Leyte,San Juan,"9,865","10,246","10,962",716,6.99,"1,097",11.12
REGION VIII,Southern Leyte,San Ricardo,"7,293","7,295","7,393",98,1.34,100,1.37
REGION VIII,Southern Leyte,Silago,"9,700","10,045","10,957",912,9.08,"1,257",12.96
REGION VIII,Southern Leyte,Sogod,"33,864","32,748","33,259",511,1.56,-605,-1.79
REGION VIII,Southern Leyte,Tomas Oppus,"11,673","12,393","11,800",-593,-4.78,127,1.09
REGION XII,Sultan Kudarat,Bagumbayan,"43,867","45,153","45,803",650,1.44,"1,936",4.41
REGION XII,Sultan Kudarat,Columbio,"19,176","20,321","22,709","2,388",11.75,"3,533",18.42
REGION XII,Sultan Kudarat,Esperanza,"37,770","41,848","46,667","4,819",11.52,"8,897",23.56
REGION XII,Sultan Kudarat,Isulan,"56,144","58,908","73,265","14,357",24.37,"17,121",30.49
REGION XII,Sultan Kudarat,Kalamansig,"26,729","30,492","31,592","1,100",3.61,"4,863",18.19
REGION XII,Sultan Kudarat,Lambayong,"42,596","48,587","51,726","3,139",6.46,"9,130",21.43
REGION XII,Sultan Kudarat,Lebak,"49,490","58,460","59,106",646,1.11,"9,616",19.43
REGION XII,Sultan Kudarat,Lutayan,"31,926","34,816","37,184","2,368",6.8,"5,258",16.47
REGION XII,Sultan Kudarat,Palimbang,"35,654","41,650","43,340","1,690",4.06,"7,686",21.56
REGION XII,Sultan Kudarat,President Quirino,"24,263","27,194","28,966","1,772",6.52,"4,703",19.38
REGION XII,Sultan Kudarat,Sen. Ninoy Aquino,"27,030","29,301","31,183","1,882",6.42,"4,153",15.36
REGION XII,Sultan Kudarat,Tacurong City,"57,366","60,960","61,843",883,1.45,"4,477",7.8
REGION IX,Sulu,Hadji Panglima Tahil,"4,152","5,324","5,083",-241,-4.53,931,22.42
REGION IX,Sulu,Indanan,"31,801","34,055","32,735","-1,320",-3.88,934,2.94
REGION IX,Sulu,Jolo,"50,272","53,813","48,365","-5,448",-10.12,"-1,907",-3.79
REGION IX,Sulu,Kalingalan Caluang,"15,320","16,984","15,918","-1,066",-6.28,598,3.9
REGION IX,Sulu,Lugus,"15,346","18,720","19,470",750,4.01,"4,124",26.87
REGION IX,Sulu,Luuk,"19,496","25,352","28,547","3,195",12.6,"9,051",46.42
REGION IX,Sulu,Maimbung,"27,704","35,441","37,468","2,027",5.72,"9,764",35.24
REGION IX,Sulu,Old Panamao,"15,183","18,822","23,701","4,879",25.92,"8,518",56.1
REGION IX,Sulu,Omar,"14,874","16,313","19,162","2,849",17.46,"4,288",28.83
REGION IX,Sulu,Pandami,"15,660","16,389","15,386","-1,003",-6.12,-274,-1.75
REGION IX,Sulu,Panglima Estino,"8,360","9,816","9,979",163,1.66,"1,619",19.37
REGION IX,Sulu,Pangutaran,"17,826","18,478","19,150",672,3.64,"1,324",7.43
REGION IX,Sulu,Parang,"25,138","33,912","41,062","7,150",21.08,"15,924",63.35
REGION IX,Sulu,Pata,"7,489","7,269","8,067",798,10.98,578,7.72
REGION IX,Sulu,Patikul,"32,541","36,205","45,483","9,278",25.63,"12,942",39.77
REGION IX,Sulu,Siasi,"28,850","32,179","33,415","1,236",3.84,"4,565",15.82
REGION IX,Sulu,Talipao,"26,088","29,585","33,021","3,436",11.61,"6,933",26.58
REGION IX,Sulu,Tapul,"7,562","11,292","15,614","4,322",38.27,"8,052",106.48
REGION IX,Sulu,Tongkil,"12,573","13,423","12,767",-656,-4.89,194,1.54
CARAGA,Surigao Del Norte,Alegria,"12,082","14,091","13,621",-470,-3.34,"1,539",12.74
CARAGA,Surigao Del Norte,Bacuag,"11,564","11,703","13,152","1,449",12.38,"1,588",13.73
CARAGA,Surigao Del Norte,Burgos,"3,806","4,039","4,501",462,11.44,695,18.26
CARAGA,Surigao Del Norte,Claver,"28,296","29,408","33,102","3,694",12.56,"4,806",16.98
CARAGA,Surigao Del Norte,Dapa,"20,865","23,184","24,658","1,474",6.36,"3,793",18.18
CARAGA,Surigao Del Norte,Del Carmen,"12,190","12,198","13,341","1,143",9.37,"1,151",9.44
CARAGA,Surigao Del Norte,General Luna,"14,576","18,215","20,658","2,443",13.41,"6,082",41.73
CARAGA,Surigao Del Norte,Gigaquit,"12,822","15,425","14,842",-583,-3.78,"2,020",15.75
CARAGA,Surigao Del Norte,Mainit,"20,525","21,025","21,282",257,1.22,757,3.69
CARAGA,Surigao Del Norte,Malimono,"13,849","14,452","15,021",569,3.94,"1,172",8.46
CARAGA,Surigao Del Norte,Pilar,"8,197","8,422","8,989",567,6.73,792,9.66
CARAGA,Surigao Del Norte,Placer,"21,235","23,204","22,183","-1,021",-4.4,948,4.46
CARAGA,Surigao Del Norte,San Benito,"4,856","5,732","5,750",18,0.31,894,18.41
CARAGA,Surigao Del Norte,San Francisco,"12,532","14,087","14,451",364,2.58,"1,919",15.31
CARAGA,Surigao Del Norte,San Isidro,"6,883","7,570","8,276",706,9.33,"1,393",20.24
CARAGA,Surigao Del Norte,Santa Monica,"7,996","7,946","9,709","1,763",22.19,"1,713",21.42
CARAGA,Surigao Del Norte,Sison,"10,956","11,974","12,042",68,0.57,"1,086",9.91
CARAGA,Surigao Del Norte,Socorro,"16,429","17,385","17,689",304,1.75,"1,260",7.67
CARAGA,Surigao Del Norte,Surigao City,"103,688","108,959","108,124",-835,-0.77,"4,436",4.28
CARAGA,Surigao Del Norte,Tagana-an,"13,050","13,666","14,029",363,2.66,979,7.5
CARAGA,Surigao Del Norte,Tubod,"10,908","11,211","11,636",425,3.79,728,6.67
CARAGA,Surigao Del Sur,Barobo,"32,013","35,627","39,312","3,685",10.34,"7,299",22.8
CARAGA,Surigao Del Sur,Bayabas,"6,445","6,862","7,226",364,5.3,781,12.12
CARAGA,Surigao Del Sur,Bislig City,"63,005","68,268","72,369","4,101",6.01,"9,364",14.86
CARAGA,Surigao Del Sur,Cagwait,"14,625","15,735","15,905",170,1.08,"1,280",8.75
CARAGA,Surigao Del Sur,Cantilan,"23,217","24,422","25,823","1,401",5.74,"2,606",11.22
CARAGA,Surigao Del Sur,Carmen,"8,255","8,426","8,629",203,2.41,374,4.53
CARAGA,Surigao Del Sur,Carrascal,"15,703","16,721","18,603","1,882",11.26,"2,900",18.47
CARAGA,Surigao Del Sur,Cortes,"12,854","13,272","14,351","1,079",8.13,"1,497",11.65
CARAGA,Surigao Del Sur,Hinatuan,"29,481","32,363","33,553","1,190",3.68,"4,072",13.81
CARAGA,Surigao Del Sur,Lanuza,"9,601","10,140","10,245",105,1.04,644,6.71
CARAGA,Surigao Del Sur,Lianga,"21,578","22,948","25,350","2,402",10.47,"3,772",17.48
CARAGA,Surigao Del Sur,Lingig,"22,482","23,980","24,720",740,3.09,"2,238",9.95
CARAGA,Surigao Del Sur,Madrid,"11,485","12,981","13,985","1,004",7.73,"2,500",21.77
CARAGA,Surigao Del Sur,Marihatag,"13,155","14,756","15,490",734,4.97,"2,335",17.75
CARAGA,Surigao Del Sur,San Agustin,"12,762","15,156","15,281",125,0.82,"2,519",19.74
CARAGA,Surigao Del Sur,San Miguel,"24,419","26,710","28,243","1,533",5.74,"3,824",15.66
CARAGA,Surigao Del Sur,Tagbina,"25,938","28,026","30,283","2,257",8.05,"4,345",16.75
CARAGA,Surigao Del Sur,Tago,"26,804","28,901","29,325",424,1.47,"2,521",9.41
CARAGA,Surigao Del Sur,Tandag City,"39,771","43,776","47,996","4,220",9.64,"8,225",20.68
REGION III,Tarlac,Anao,"8,363","9,050","8,620",-430,-4.75,257,3.07
REGION III,Tarlac,Bamban,"41,370","45,008","47,867","2,859",6.35,"6,497",15.7
REGION III,Tarlac,Camiling,"51,749","53,623","53,620",-3,-0.01,"1,871",3.62
REGION III,Tarlac,Capas,"71,024","84,438","88,121","3,683",4.36,"17,097",24.07
REGION III,Tarlac,Concepcion,"97,440","106,576","112,534","5,958",5.59,"15,094",15.49
REGION III,Tarlac,Gerona,"55,285","57,320","60,410","3,090",5.39,"5,125",9.27
REGION III,Tarlac,La Paz,"39,529","43,885","45,521","1,636",3.73,"5,992",15.16
REGION III,Tarlac,Mayantoc,"20,311","21,300","21,815",515,2.42,"1,504",7.4
REGION III,Tarlac,Moncada,"36,439","38,503","39,659","1,156",3,"3,220",8.84
REGION III,Tarlac,Paniqui,"63,909","70,802","66,607","-4,195",-5.92,"2,698",4.22
REGION III,Tarlac,Pura,"17,093","18,041","18,851",810,4.49,"1,758",10.28
REGION III,Tarlac,Ramos,"14,194","15,176","16,035",859,5.66,"1,841",12.97
REGION III,Tarlac,San Clemente,"9,671","9,742","9,884",142,1.46,213,2.2
REGION III,Tarlac,San Jose,"19,002","20,408","23,321","2,913",14.27,"4,319",22.73
REGION III,Tarlac,San Manuel,"16,750","17,743","18,075",332,1.87,"1,325",7.91
REGION III,Tarlac,Santa Ignacia,"30,363","32,153","32,826",673,2.09,"2,463",8.11
REGION III,Tarlac,Tarlac City,"206,605","213,784","229,255","15,471",7.24,"22,650",10.96
REGION III,Tarlac,Victoria,"39,367","41,082","42,982","1,900",4.62,"3,615",9.18
BARMM,Tawi-Tawi,Bongao,"58,188","62,285","69,754","7,469",11.99,"11,566",19.88
BARMM,Tawi-Tawi,Languyan,"17,770","19,434","21,892","2,458",12.65,"4,122",23.2
BARMM,Tawi-Tawi,Mapun,"17,415","17,614","19,996","2,382",13.52,"2,581",14.82
BARMM,Tawi-Tawi,Panglima Sugala,"17,838","20,206","19,493",-713,-3.53,"1,655",9.28
BARMM,Tawi-Tawi,Sapa-Sapa,"14,706","18,419","22,022","3,603",19.56,"7,316",49.75
BARMM,Tawi-Tawi,Sibutu,"16,601","17,298","19,100","1,802",10.42,"2,499",15.05
BARMM,Tawi-Tawi,Simunul,"13,900","15,763","16,619",856,5.43,"2,719",19.56
BARMM,Tawi-Tawi,Sitangkai,"23,323","25,806","27,418","1,612",6.25,"4,095",17.56
BARMM,Tawi-Tawi,South Ubian,"12,503","13,913","15,199","1,286",9.24,"2,696",21.56
BARMM,Tawi-Tawi,Tandubas,"12,299","13,776","15,405","1,629",11.82,"3,106",25.25
BARMM,Tawi-Tawi,Turtle Islands,"5,876","8,331","8,734",403,4.84,"2,858",48.64
REGION III,Zambales,Botolan,"41,981","44,728","46,839","2,111",4.72,"4,858",11.57
REGION III,Zambales,Cabangan,"17,204","18,414","19,460","1,046",5.68,"2,256",13.11
REGION III,Zambales,Candelaria,"17,878","19,714","20,406",692,3.51,"2,528",14.14
REGION III,Zambales,Castillejos,"32,141","36,532","36,919",387,1.06,"4,778",14.87
REGION III,Zambales,Iba,"32,928","36,083","38,256","2,173",6.02,"5,328",16.18
REGION III,Zambales,Masinloc,"35,352","38,462","40,568","2,106",5.48,"5,216",14.75
REGION III,Zambales,Olongapo City,"126,821","123,707","122,899",-808,-0.65,"-3,922",-3.09
REGION III,Zambales,Palauig,"25,911","27,953","28,607",654,2.34,"2,696",10.4
REGION III,Zambales,San Antonio,"22,224","23,126","24,236","1,110",4.8,"2,012",9.05
REGION III,Zambales,San Felipe,"15,177","16,774","17,178",404,2.41,"2,001",13.18
REGION III,Zambales,San Marcelino,"22,887","24,927","25,097",170,0.68,"2,210",9.66
REGION III,Zambales,San Narciso,"19,587","20,270","20,167",-103,-0.51,580,2.96
REGION III,Zambales,Santa Cruz,"39,907","41,166","43,102","1,936",4.7,"3,195",8.01
REGION III,Zambales,Subic,"65,726","68,453","68,402",-51,-0.07,"2,676",4.07
REGION IX,Zamboanga Del Norte,Bacungan,"17,772","18,477","20,210","1,733",9.38,"2,438",13.72
REGION IX,Zamboanga Del Norte,Baliguian,"16,073","15,672","15,352",-320,-2.04,-721,-4.49
REGION IX,Zamboanga Del Norte,Dapitan City,"57,434","67,808","75,602","7,794",11.49,"18,168",31.63
REGION IX,Zamboanga Del Norte,Dipolog City,"84,868","89,106","98,238","9,132",10.25,"13,370",15.75
REGION IX,Zamboanga Del Norte,Godod,"11,664","11,778","12,256",478,4.06,592,5.08
REGION IX,Zamboanga Del Norte,Gutalac,"23,130","24,680","27,304","2,624",10.63,"4,174",18.05
REGION IX,Zamboanga Del Norte,Jose Dalman,"19,358","21,478","22,288",810,3.77,"2,930",15.14
REGION IX,Zamboanga Del Norte,Kalawit,"16,407","16,005","17,127","1,122",7.01,720,4.39
REGION IX,Zamboanga Del Norte,Katipunan,"28,010","30,570","33,964","3,394",11.1,"5,954",21.26
REGION IX,Zamboanga Del Norte,La Libertad,"6,276","6,174","6,337",163,2.64,61,0.97
REGION IX,Zamboanga Del Norte,Labason,"28,513","30,150","33,125","2,975",9.87,"4,612",16.18
REGION IX,Zamboanga Del Norte,Liloy,"31,982","31,218","32,607","1,389",4.45,625,1.95
REGION IX,Zamboanga Del Norte,Manukan,"24,475","25,769","26,342",573,2.22,"1,867",7.63
REGION IX,Zamboanga Del Norte,Mutia,"8,712","9,813","10,028",215,2.19,"1,316",15.11
REGION IX,Zamboanga Del Norte,Pinan,"14,309","16,271","14,906","-1,365",-8.39,597,4.17
REGION IX,Zamboanga Del Norte,Polanco,"27,601","32,253","31,040","-1,213",-3.76,"3,439",12.46
REGION IX,Zamboanga Del Norte,Pres. Manuel A. Roxas,"24,811","26,476","28,550","2,074",7.83,"3,739",15.07
REGION IX,Zamboanga Del Norte,Rizal,"11,826","12,401","14,229","1,828",14.74,"2,403",20.32
REGION IX,Zamboanga Del Norte,Salug,"22,542","22,765","23,433",668,2.93,891,3.95
REGION IX,Zamboanga Del Norte,"Sergio Osmena, Sr.","20,376","22,099","23,146","1,047",4.74,"2,770",13.59
REGION IX,Zamboanga Del Norte,Siayan,"21,642","24,973","28,072","3,099",12.41,"6,430",29.71
REGION IX,Zamboanga Del Norte,Sibuco,"23,467","28,153","33,122","4,969",17.65,"9,655",41.14
REGION IX,Zamboanga Del Norte,Sibutad,"13,176","13,732","13,936",204,1.49,760,5.77
REGION IX,Zamboanga Del Norte,Sindangan,"62,741","72,613","72,505",-108,-0.15,"9,764",15.56
REGION IX,Zamboanga Del Norte,Siocon,"28,222","28,395","30,503","2,108",7.42,"2,281",8.08
REGION IX,Zamboanga Del Norte,Sirawai,"22,153","23,225","18,809","-4,416",-19.01,"-3,344",-15.1
REGION IX,Zamboanga Del Norte,Tampilisan,"16,533","16,489","17,509","1,020",6.19,976,5.9
REGION IX,Zamboanga Del Sur,Aurora,"34,578","36,746","37,413",667,1.82,"2,835",8.2
REGION IX,Zamboanga Del Sur,Bayog,"20,510","20,828","21,967","1,139",5.47,"1,457",7.1
REGION IX,Zamboanga Del Sur,Dimataling,"21,204","23,374","22,755",-619,-2.65,"1,551",7.31
REGION IX,Zamboanga Del Sur,Dinas,"21,547","24,513","21,996","-2,517",-10.27,449,2.08
REGION IX,Zamboanga Del Sur,Dumalinao,"20,929","21,516","22,931","1,415",6.58,"2,002",9.57
REGION IX,Zamboanga Del Sur,Dumingag,"28,353","30,838","30,932",94,0.3,"2,579",9.1
REGION IX,Zamboanga Del Sur,Guipos,"14,220","16,055","20,020","3,965",24.7,"5,800",40.79
REGION IX,Zamboanga Del Sur,Josefina,"7,480","8,124","7,971",-153,-1.88,491,6.56
REGION IX,Zamboanga Del Sur,Kumalarang,"18,156","19,112","20,895","1,783",9.33,"2,739",15.09
REGION IX,Zamboanga Del Sur,Labangan,"29,339","28,876","31,550","2,674",9.26,"2,211",7.54
REGION IX,Zamboanga Del Sur,Lakewood,"13,054","13,759","14,410",651,4.73,"1,356",10.39
REGION IX,Zamboanga Del Sur,Lapuyan,"16,371","17,033","17,071",38,0.22,700,4.28
REGION IX,Zamboanga Del Sur,Mahayag,"29,814","33,491","32,693",-798,-2.38,"2,879",9.66
REGION IX,Zamboanga Del Sur,Margosatubig,"21,405","24,081","22,207","-1,874",-7.78,802,3.75
REGION IX,Zamboanga Del Sur,Midsalip,"20,331","21,311","22,619","1,308",6.14,"2,288",11.25
REGION IX,Zamboanga Del Sur,Molave,"31,828","34,204","33,459",-745,-2.18,"1,631",5.12
REGION IX,Zamboanga Del Sur,Pagadian City,"123,048","137,303","149,477","12,174",8.87,"26,429",21.48
REGION IX,Zamboanga Del Sur,Pitogo,"16,169","18,698","17,364","-1,334",-7.13,"1,195",7.39
REGION IX,Zamboanga Del Sur,Ramon Magsaysay,"18,320","18,205","18,056",-149,-0.82,-264,-1.44
REGION IX,Zamboanga Del Sur,San Miguel,"12,726","13,778","15,281","1,503",10.91,"2,555",20.08
REGION IX,Zamboanga Del Sur,San Pablo,"17,835","18,057","18,933",876,4.85,"1,098",6.16
REGION IX,Zamboanga Del Sur,Sominot,"10,410","10,845","10,862",17,0.16,452,4.34
REGION IX,Zamboanga Del Sur,Tabina,"15,169","17,429","17,195",-234,-1.34,"2,026",13.36
REGION IX,Zamboanga Del Sur,Tambulig,"24,004","25,468","25,788",320,1.26,"1,784",7.43
