Region,Province,Municipality,2019 voters,2022 voters,2025 voters,Change from 2022 to 2025,Percentage change from 2022 to 2025,Change from 2019 to 2025,Percentage change from 2019 to 2025
REGION I,Pangasinan,San Manuel,"29,825","31,225","31,895",670,2.15,"2,070",6.94
REGION I,Pangasinan,San Nicolas,"26,109","26,993","27,371",378,1.4,"1,262",4.83
REGION I,Pangasinan,San Quintin,"23,224","24,051","25,350","1,299",5.4,"2,126",9.15
REGION I,Pangasinan,Santa Barbara,"51,863","54,954","57,629","2,675",4.87,"5,766",11.12
REGION I,Pangasinan,Santa Maria,"21,777","22,765","24,026","1,261",5.54,"2,249",10.33
REGION I,Pangasinan,Santo Tomas,"8,592","9,720","9,945",225,2.31,"1,353",15.75
REGION I,Pangasinan,Sison,"30,768","32,704","33,363",659,2.02,"2,595",8.43
REGION I,Pangasinan,Sual,"28,940","31,640","34,338","2,698",8.53,"5,398",18.65
REGION I,Pangasinan,Tayug,"28,507","29,526","31,945","2,419",8.19,"3,438",12.06
REGION I,Pangasinan,Umingan,"51,310","56,259","56,451",192,0.34,"5,141",10.02
REGION I,Pangasinan,Urbiztondo,"34,586","39,344","42,068","2,724",6.92,"7,482",21.63
REGION I,Pangasinan,Urdaneta City,"87,916","95,971","102,425","6,454",6.72,"14,509",16.5
REGION I,Pangasinan,Villasis,"42,084","44,902","44,707",-195,-0.43,"2,623",6.23
REGION IV-A,Quezon,Agdangan,"9,080","9,379","9,696",317,3.38,616,6.78
REGION IV-A,Quezon,Alabat,"10,378","11,711","12,023",312,2.66,"1,645",15.85
REGION IV-A,Quezon,Atimonan,"35,109","38,098","37,532",-566,-1.49,"2,423",6.9
REGION IV-A,Quezon,Buenavista,"18,037","19,886","22,993","3,107",15.62,"4,956",27.48
REGION IV-A,Quezon,Burdeos,"12,438","14,929","14,272",-657,-4.4,"1,834",14.75
REGION IV-A,Quezon,Calauag,"43,715","46,959","50,587","3,628",7.73,"6,872",15.72
REGION IV-A,Quezon,Candelaria,"72,896","81,374","89,174","7,800",9.59,"16,278",22.33
REGION IV-A,Quezon,Catanauan,"40,342","44,042","45,870","1,828",4.15,"5,528",13.7
REGION IV-A,Quezon,Dolores,"18,321","20,688","22,229","1,541",7.45,"3,908",21.33
REGION IV-A,Quezon,General Luna,"16,115","17,719","18,549",830,4.68,"2,434",15.1
REGION IV-A,Quezon,General Nakar,"21,135","24,645","26,151","1,506",6.11,"5,016",23.73
REGION IV-A,Quezon,Guinayangan,"26,724","28,269","27,750",-519,-1.84,"1,026",3.84
REGION IV-A,Quezon,Gumaca,"39,785","46,520","44,765","-1,755",-3.77,"4,980",12.52
REGION IV-A,Quezon,Infanta,"37,452","46,012","47,047","1,035",2.25,"9,595",25.62
REGION IV-A,Quezon,Jomalig,"4,649","5,231","5,629",398,7.61,980,21.08
REGION IV-A,Quezon,Lopez,"56,477","60,990","59,547","-1,443",-2.37,"3,070",5.44
REGION IV-A,Quezon,Lucban,"29,272","35,705","36,961","1,256",3.52,"7,689",26.27
REGION IV-A,Quezon,Lucena City,"163,736","183,412","199,416","16,004",8.73,"35,680",21.79
REGION IV-A,Quezon,Macalelon,"16,967","17,470","18,061",591,3.38,"1,094",6.45
REGION IV-A,Quezon,Mauban,"42,217","44,895","48,534","3,639",8.11,"6,317",14.96
REGION IV-A,Quezon,Mulanay,"32,243","35,227","36,143",916,2.6,"3,900",12.1
REGION IV-A,Quezon,Padre Burgos,"15,487","18,182","16,771","-1,411",-7.76,"1,284",8.29
REGION IV-A,Quezon,Pagbilao,"43,545","51,109","50,395",-714,-1.4,"6,850",15.73
REGION IV-A,Quezon,Panukulan,"10,804","11,266","11,952",686,6.09,"1,148",10.63
REGION IV-A,Quezon,Patnanungan,"7,966","8,819","8,734",-85,-0.96,768,9.64
REGION IV-A,Quezon,Perez,"9,110","9,471","10,030",559,5.9,920,10.1
REGION IV-A,Quezon,Pitogo,"16,422","16,756","17,112",356,2.12,690,4.2
