Region,Province,Municipality,Voter turnout (2019),Voter turnout (2022),Change,Percent change
REGION X,Misamis Occidental,Aloran,"15,710","17,010","1,300",8.27
REGION III,Bataan,Orani,"36,559","42,686","6,127",16.76
REGION II,Quirino,Aglipay,"13,801","16,037","2,236",16.2
REGION II,Cagayan,Sanchez-Mira,"11,821","14,721","2,900",24.53
REGION XII,Cotabato (North Cotabato),Arakan,"21,601","26,129","4,528",20.96
REGION III,Zambales,Santa Cruz,"29,456","35,768","6,312",21.43
REGION IX,Zamboanga Sibugay,Roseller Lim,"20,353","23,360","3,007",14.77
CAR,Ifugao,Hingyon,"6,026","6,986",960,15.93
REGION II,Isabela,Burgos,"12,695","14,007","1,312",10.33
REGION X,Bukidnon,Don Carlos,"32,359","37,793","5,434",16.79
REGION VI,Negros Occidental,Ilog,"26,407","29,240","2,833",10.73
REGION II,Nueva Vizcaya,Solano,"28,700","34,573","5,873",20.46
REGION XII,Cotabato (North Cotabato),Aleosan,"17,179","18,701","1,522",8.86
REGION VIII,Northern Samar,Catubig,"18,393","18,302",-91,-0.49
REGION IX,Zamboanga Sibugay,Malangas,"15,542","17,715","2,173",13.98
REGION IV-B,Romblon,San Fernando,"12,602","13,939","1,337",10.61
REGION III,Nueva Ecija,San Leonardo,"30,473","36,277","5,804",19.05
REGION VIII,Samar (Western Samar),Daram,"21,664","23,412","1,748",8.07
REGION V,Albay,Pio Duran,"24,824","28,120","3,296",13.28
REGION I,Pangasinan,Bolinao,"33,793","41,537","7,744",22.92
REGION VI,Capiz,Sapi-an,"13,888","16,060","2,172",15.64
REGION VI,Capiz,Tapaz,"26,043","29,437","3,394",13.03
REGION VII,Negros Oriental,Santa Catalina,"33,240","37,754","4,514",13.58
REGION IV-A,Cavite,Trece Martires City,"61,982","92,473","30,491",49.19
REGION VI,Negros Occidental,Candoni,"11,111","13,488","2,377",21.39
REGION IX,Zamboanga Sibugay,Payao,"15,104","17,739","2,635",17.45
REGION III,Nueva Ecija,Science City of Munoz,"39,835","47,722","7,887",19.8
REGION IV-A,Quezon,Unisan,"12,773","15,934","3,161",24.75
REGION IV-A,Quezon,Atimonan,"25,705","32,065","6,360",24.74
BARMM,Lanao Del Sur,Ganassi,"6,744","9,932","3,188",47.27
BARMM,Lanao Del Sur,Wao,"27,397","30,202","2,805",10.24
REGION IX,Zamboanga Del Norte,Kalawit,"11,984","13,001","1,017",8.49
REGION IV-B,Palawan,Rizal,"19,476","24,216","4,740",24.34
REGION III,Bulacan,Obando,"26,273","30,127","3,854",14.67
REGION VII,Cebu,Madridejos,"19,408","25,236","5,828",30.03
REGION XI,Davao De Oro (Compostela Valley),Pantukan,"38,770","51,817","13,047",33.65
REGION IV-B,Oriental Mindoro,San Teodoro,"8,899","10,016","1,117",12.55
REGION IV-A,Laguna,Famy,"9,214","11,546","2,332",25.31
REGION II,Isabela,Palanan,"8,515","10,372","1,857",21.81
REGION IX,Zamboanga Sibugay,Kabasalan,"23,980","28,148","4,168",17.38
REGION XII,South Cotabato,General Santos City,"219,755","276,919","57,164",26.01
BARMM,Lanao Del Sur,Saguiaran,"13,095","18,070","4,975",37.99
REGION VIII,Southern Leyte,Malitbog,"9,674","11,175","1,501",15.52
REGION IV-B,Palawan,Narra,"30,754","39,739","8,985",29.22
REGION III,Nueva Ecija,Llanera,"19,870","21,962","2,092",10.53
BARMM,Basilan,Lamitan City,"37,589","41,679","4,090",10.88
REGION VI,Negros Occidental,Kabankalan City,"76,858","86,541","9,683",12.6
REGION III,Bulacan,Plaridel,"48,305","59,506","11,201",23.19
REGION VII,Negros Oriental,Dumaguete City,"64,959","77,275","12,316",18.96
REGION IX,Zamboanga Del Sur,Labangan,"21,346","23,836","2,490",11.66
REGION X,Lanao Del Norte,Salvador,"9,364","12,347","2,983",31.86
BARMM,Lanao Del Sur,Butig,"8,833","10,942","2,109",23.88
REGION II,Cagayan,Tuao,"27,517","32,567","5,050",18.35
REGION III,Nueva Ecija,Gapan City,"63,675","78,361","14,686",23.06
REGION VII,Cebu,Consolacion,"61,776","77,140","15,364",24.87
REGION XI,Davao Occidental,Santa Maria,"24,548","27,412","2,864",11.67
REGION X,Lanao Del Norte,Kauswagan,"11,305","12,376","1,071",9.47
BARMM,Lanao Del Sur,Lumbatan,"10,271","12,379","2,108",20.52
REGION X,Lanao Del Norte,Iligan City,"133,537","154,734","21,197",15.87
REGION IV-A,Laguna,Lumban,"15,974","19,501","3,527",22.08
REGION IV-A,Cavite,Magallanes,"10,928","13,964","3,036",27.78
REGION VI,Negros Occidental,Cadiz City,"67,137","74,121","6,984",10.4
REGION III,Pampanga,Arayat,"53,406","65,496","12,090",22.64
REGION III,Bulacan,San Jose del Monte City,"179,401","224,543","45,142",25.16
REGION X,Lanao Del Norte,Poona Piagapo,"8,009","9,249","1,240",15.48
REGION IV-B,Oriental Mindoro,Pinamalayan,"34,504","42,288","7,784",22.56
REGION IV-A,Quezon,Polillo,"14,818","17,774","2,956",19.95
REGION III,Bulacan,Meycauayan City,"92,459","112,344","19,885",21.51
REGION III,Nueva Ecija,Talavera,"59,846","73,663","13,817",23.09
REGION XI,Davao Oriental,Baganga,"25,278","32,196","6,918",27.37
BARMM,Maguindanao Del Norte,Datu Blah T. Sinsuat,"7,933","12,590","4,657",58.7
REGION II,Cagayan,Alcala,"17,680","20,352","2,672",15.11
REGION IV-B,Oriental Mindoro,Puerto Galera,"18,923","22,200","3,277",17.32
REGION V,Masbate,Pio V. Corpus,"12,984","13,944",960,7.39
REGION III,Pampanga,Angeles City,"143,126","172,636","29,510",20.62
REGION II,Nueva Vizcaya,Alfonso Castaneda,"4,338","5,005",667,15.38
REGION VIII,Northern Samar,San Roque,"12,917","14,558","1,641",12.7
REGION IV-A,Cavite,Kawit,"38,156","50,805","12,649",33.15
REGION IV-B,Occidental Mindoro,San Jose,"57,461","72,427","14,966",26.05
REGION III,Nueva Ecija,San Antonio,"39,952","49,035","9,083",22.73
REGION XI,Davao Occidental,Jose Abad Santos,"29,697","30,225",528,1.78
REGION X,Lanao Del Norte,Matungao,"4,971","7,601","2,630",52.91
REGION XI,Davao De Oro (Compostela Valley),Mabini,"18,937","24,961","6,024",31.81
REGION IV-A,Cavite,Carmona,"37,923","47,987","10,064",26.54
REGION XI,Davao Occidental,Sarangani,"10,861","11,522",661,6.09
REGION VIII,Northern Samar,Palapag,"16,765","19,043","2,278",13.59
REGION VI,Negros Occidental,Bago City,"72,018","83,604","11,586",16.09
REGION III,Zambales,Castillejos,"23,057","30,001","6,944",30.12
REGION IV-A,Cavite,General Emilio Aguinaldo,"10,721","14,328","3,607",33.64
BARMM,Maguindanao Del Norte,Barira,"10,421","15,948","5,527",53.04
REGION IV-B,Occidental Mindoro,Calintaan,"12,054","14,639","2,585",21.45
REGION IV-B,Palawan,Puerto Princesa City,"110,287","136,547","26,260",23.81
REGION VI,Negros Occidental,Sagay City,"58,753","67,979","9,226",15.7
REGION IV-A,Batangas,Tuy,"21,404","25,062","3,658",17.09
REGION VIII,Leyte,Palompon,"29,190","37,519","8,329",28.53
REGION IV-A,Cavite,Mendez,"15,526","20,371","4,845",31.21
REGION IX,Zamboanga Sibugay,Naga,"19,942","22,148","2,206",11.06
NCR,NCR,City of Makati,"320,827","375,103","54,276",16.92
REGION XI,Davao De Oro (Compostela Valley),Maragusan,"27,660","38,332","10,672",38.58
REGION X,Lanao Del Norte,Kapatagan,"23,031","27,754","4,723",20.51
REGION IV-A,Cavite,Indang,"33,342","38,707","5,365",16.09
REGION VI,Negros Occidental,Cauayan,"39,490","45,673","6,183",15.66
REGION IV-A,Rizal,Cainta,"120,793","137,606","16,813",13.92
REGION IV-A,Laguna,Mabitac,"10,368","12,623","2,255",21.75
REGION II,Isabela,Santo Tomas,"11,545","13,193","1,648",14.27
BARMM,Lanao Del Sur,Calanogas,"4,535","6,360","1,825",40.24
REGION VI,Capiz,Dumalag,"15,402","18,080","2,678",17.39
REGION III,Nueva Ecija,Carranglan,"17,484","22,350","4,866",27.83
REGION IV-A,Laguna,Cabuyao City,"148,145","183,784","35,639",24.06
CAR,Apayao,Kabugao,"7,908","9,889","1,981",25.05
REGION XII,Cotabato (North Cotabato),Banisilan,"18,665","22,507","3,842",20.58
REGION XI,Davao De Oro (Compostela Valley),Maco,"36,486","51,646","15,160",41.55
BARMM,Lanao Del Sur,Balabagan,"11,169","14,849","3,680",32.95
REGION IV-A,Laguna,Pila,"25,618","29,609","3,991",15.58
BARMM,Lanao Del Sur,Masiu,"10,504","12,675","2,171",20.67
BARMM,Lanao Del Sur,Lumbayanague,"6,194","8,165","1,971",31.82
NCR,NCR,City of Paranaque,"231,480","285,438","53,958",23.31
BARMM,Lanao Del Sur,Marantao,"16,308","26,845","10,537",64.61
REGION III,Aurora,Casiguran,"12,094","14,717","2,623",21.69
REGION IV-A,Cavite,Dasmarinas City,"272,997","336,817","63,820",23.38
REGION IV-A,Cavite,Noveleta,"19,947","26,920","6,973",34.96
REGION XII,Sultan Kudarat,Bagumbayan,"30,700","37,662","6,962",22.68
REGION IV-A,Quezon,Buenavista,"12,627","17,472","4,845",38.37
REGION II,Quirino,Diffun,"20,998","26,202","5,204",24.78
REGION VII,Negros Oriental,Bayawan City,"52,901","61,441","8,540",16.14
REGION II,Isabela,Dinapigue,"3,403","3,789",386,11.34
REGION IV-A,Rizal,Taytay,"107,520","129,437","21,917",20.38
REGION IV-A,Cavite,Silang,"95,498","123,742","28,244",29.58
BARMM,Sulu,Panglima Estino,"5,827","9,289","3,462",59.41
REGION V,Albay,Libon,"32,885","37,862","4,977",15.13
REGION II,Cagayan,Calayan,"6,789","7,656",867,12.77
REGION III,Zambales,Olongapo City,"88,299","101,801","13,502",15.29
REGION IV-A,Cavite,Tanza,"96,781","126,887","30,106",31.11
BARMM,Basilan,Akbar,"4,303","6,083","1,780",41.37
REGION III,Nueva Ecija,Rizal,"24,682","30,350","5,668",22.96
CAR,Benguet,Baguio City,"113,899","139,461","25,562",22.44
REGION X,Misamis Occidental,Concepcion,"2,842","3,080",238,8.37
BARMM,Basilan,Tipo-Tipo,"8,411","10,853","2,442",29.03
REGION IV-A,Cavite,Naic,"50,407","74,658","24,251",48.11
REGION VIII,Leyte,Matag-ob,"9,011","12,372","3,361",37.3
REGION IX,Zamboanga Del Norte,Baliguian,"11,112","12,271","1,159",10.43
BARMM,Maguindanao Del Norte,Matanog,"10,712","15,945","5,233",48.85
REGION X,Lanao Del Norte,Sapad,"8,664","10,919","2,255",26.03
NCR,NCR,City of Manila,"736,156","886,133","149,977",20.37
REGION IX,Zamboanga Sibugay,Tungawan,"19,065","23,211","4,146",21.75
REGION II,Cagayan,Allacapan,"15,172","17,633","2,461",16.22
REGION VIII,Northern Samar,Laoang,"28,056","30,032","1,976",7.04
REGION XII,Sultan Kudarat,Isulan,"38,698","46,567","7,869",20.33
REGION XII,Sarangani,Glan,"46,826","56,487","9,661",20.63
REGION III,Pampanga,Macabebe,"31,663","36,271","4,608",14.55
REGION IX,Zamboanga Sibugay,Alicia,"17,949","21,083","3,134",17.46
REGION IV-B,Occidental Mindoro,Santa Cruz,"16,738","21,020","4,282",25.58
NCR,NCR,Pasay City,"197,131","221,411","24,280",12.32
REGION IV-A,Cavite,Tagaytay City,"35,771","43,293","7,522",21.03
BARMM,Basilan,Hadji Muhtamad,"6,428","8,258","1,830",28.47
REGION III,Zambales,Subic,"45,118","56,329","11,211",24.85
REGION V,Masbate,Baleno,"13,245","16,099","2,854",21.55
REGION IX,Zamboanga Del Norte,Sirawai,"15,240","14,927",-313,-2.05
REGION XII,Sarangani,Kiamba,"27,293","31,162","3,869",14.18
REGION VI,Negros Occidental,Escalante City,"42,700","53,793","11,093",25.98
REGION X,Bukidnon,Kadingilan,"18,233","22,407","4,174",22.89
REGION XII,Sultan Kudarat,Kalamansig,"18,119","23,193","5,074",28.0
NCR,NCR,Quezon City,"907,912","1,138,511","230,599",25.4
REGION IV-A,Batangas,Batangas City,"152,254","186,853","34,599",22.72
BARMM,Lanao Del Sur,Madalum,"7,580","11,690","4,110",54.22
REGION XI,Davao Occidental,Don Marcelino,"16,704","19,782","3,078",18.43
REGION IV-A,Laguna,Paete,"12,994","14,867","1,873",14.41
BARMM,Maguindanao Del Norte,Buldon,"13,597","17,047","3,450",25.37
REGION IV-A,Laguna,Santa Rosa City,"144,760","182,645","37,885",26.17
REGION X,Bukidnon,Kitaotao,"19,522","25,106","5,584",28.6
REGION VIII,Northern Samar,Silvino Lobos,"7,023","7,545",522,7.43
REGION IV-A,Cavite,Gen. Mariano Alvarez,"61,852","77,125","15,273",24.69
BARMM,Sulu,Siasi,"19,427","30,230","10,803",55.61
BARMM,Basilan,Ungkaya Pukan,"7,049","8,413","1,364",19.35
REGION X,Lanao Del Norte,Nunungan,"6,462","9,090","2,628",40.67
REGION IV-A,Laguna,Binan City,"130,651","176,525","45,874",35.11
NCR,NCR,City of Taguig,"296,573","371,575","75,002",25.29
BARMM,Sulu,Parang,"16,747","24,918","8,171",48.79
REGION III,Nueva Ecija,Cabanatuan City,"145,685","175,463","29,778",20.44
REGION IX,Zamboanga Del Sur,Dimataling,"14,213","16,580","2,367",16.65
REGION XII,Sarangani,Malungon,"48,317","52,087","3,770",7.8
BARMM,Sulu,Old Panamao,"10,152","17,590","7,438",73.27
REGION IV-A,Cavite,Imus City,"143,642","184,870","41,228",28.7
BARMM,Lanao Del Sur,Tubaran,"6,355","5,929",-426,-6.7
REGION VII,Negros Oriental,Guihulngan City,"40,689","48,529","7,840",19.27
NCR,NCR,City of Caloocan,"476,821","582,521","105,700",22.17
BARMM,Maguindanao Del Norte,Upi,"25,227","31,402","6,175",24.48
REGION IV-A,Cavite,Cavite City,"46,487","58,124","11,637",25.03
NCR,NCR,City of Muntinlupa,"225,226","252,396","27,170",12.06
REGION XII,Sarangani,Maitum,"21,438","23,870","2,432",11.34
BARMM,Maguindanao Del Norte,Parang,"29,083","41,392","12,309",42.32
BARMM,Maguindanao Del Sur,Datu Unsay,"4,370","7,809","3,439",78.7
REGION VIII,Northern Samar,Lapinig,"5,611","6,062",451,8.04
REGION IV-A,Rizal,Angono,"50,040","57,758","7,718",15.42
REGION VIII,Northern Samar,Pambujan,"13,609","17,281","3,672",26.98
REGION XII,Sultan Kudarat,Sen. Ninoy Aquino,"17,491","20,959","3,468",19.83
BARMM,Maguindanao Del Sur,Shariff Aguak,"10,519","17,381","6,862",65.23
REGION XI,Davao Del Sur,Davao City,"636,218","737,371","101,153",15.9
REGION IV-A,Laguna,San Pedro City,"119,727","145,623","25,896",21.63
NCR,NCR,City of Mandaluyong,"147,576","184,423","36,847",24.97
REGION IV-A,Rizal,Tanay,"44,670","57,941","13,271",29.71
REGION X,Lanao Del Norte,Baloi,"13,844","16,300","2,456",17.74
BARMM,City Of Isabela,Isabela City,"45,786","53,788","8,002",17.48
BARMM,Sulu,Pangutaran,"11,416","13,206","1,790",15.68
REGION VIII,Northern Samar,Mapanas,"7,675","8,926","1,251",16.3
BARMM,Maguindanao Del Sur,Ampatuan,"9,598","13,152","3,554",37.03
BARMM,Maguindanao Del Sur,Gen. S.K. Pendatun,"9,813","15,427","5,614",57.21
REGION XII,Sultan Kudarat,Palimbang,"22,756","28,642","5,886",25.87
BARMM,Basilan,Maluso,"16,423","23,646","7,223",43.98
NCR,NCR,City of Las Pinas,"208,736","242,024","33,288",15.95
REGION IV-A,Cavite,Rosario,"53,341","67,331","13,990",26.23
REGION X,Lanao Del Norte,Tagoloan,"5,525","6,435",910,16.47
REGION VI,Negros Occidental,Sipalay City,"31,078","38,047","6,969",22.42
REGION VIII,Northern Samar,Las Navas,"15,941","17,696","1,755",11.01
REGION XI,Davao Oriental,Cateel,"17,554","25,386","7,832",44.62
REGION IV-A,Laguna,Calamba City,"194,999","245,133","50,134",25.71
REGION IV-A,Rizal,Binangonan,"90,767","114,337","23,570",25.97
BARMM,Maguindanao Del Sur,South Upi,"16,160","19,120","2,960",18.32
BARMM,Lanao Del Sur,Tugaya,"7,946","12,264","4,318",54.34
BARMM,Lanao Del Sur,Mulondo,"8,465","9,020",555,6.56
REGION XII,Sultan Kudarat,Lambayong,"26,336","33,653","7,317",27.78
BARMM,Basilan,Hadji Mohammad Ajul,"6,906","10,174","3,268",47.32
REGION IX,Zamboanga Del Sur,Zamboanga City,"286,526","344,671","58,145",20.29
BARMM,Maguindanao Del Sur,Sultan Sa Barongis,"8,561","9,470",909,10.62
REGION III,Nueva Ecija,Palayan City,"21,381","26,934","5,553",25.97
REGION IV-A,Cavite,Bacoor City,"183,349","233,429","50,080",27.31
REGION IV-A,Rizal,Rodriguez,"126,054","166,481","40,427",32.07
BARMM,Tawi-Tawi,Sitangkai,"13,949","17,788","3,839",27.52
REGION IV-A,Rizal,Antipolo City,"286,165","349,368","63,203",22.09
BARMM,Lanao Del Sur,Sultan Dumalondong,"3,393","3,974",581,17.12
REGION IV-B,Palawan,Kalayaan,236,435,199,84.32
BARMM,Sulu,Jolo,"29,490","36,636","7,146",24.23
BARMM,Basilan,Sumisip,"13,696","19,069","5,373",39.23
BARMM,Tawi-Tawi,Turtle Islands,"3,359","5,611","2,252",67.04
REGION IV-A,Cavite,General Trias City,"96,595","141,035","44,440",46.01
BARMM,Sulu,Tapul,"4,287","10,293","6,006",140.1
BARMM,Maguindanao Del Norte,Talitay,"5,763","11,449","5,686",98.66
REGION IV-A,Rizal,Baras,"22,665","33,397","10,732",47.35
BARMM,Sulu,Omar,"8,202","11,005","2,803",34.17
BARMM,Maguindanao Del Sur,Datu Salibo,"5,061","8,211","3,150",62.24
BARMM,Maguindanao Del Sur,Pagalungan,"10,641","18,582","7,941",74.63
BARMM,Maguindanao Del Sur,Datu Piang,"7,635","9,194","1,559",20.42
BARMM,Maguindanao Del Sur,Datu Saudi-Ampatuan,"8,830","15,040","6,210",70.33
BARMM,Maguindanao Del Norte,Cotabato City,"57,812","68,706","10,894",18.84
BARMM,Maguindanao Del Norte,Northern Kabuntalan,"6,572","9,489","2,917",44.39
BARMM,Lanao Del Sur,Lumbaca-Unayan,"3,209","5,646","2,437",75.94
NCR,NCR,City of Malabon,"161,823","196,218","34,395",21.25
