Region,Province,Municipality,Voter turnout (2019),Voter turnout (2022),Change,Percent change
CARAGA,Surigao Del Sur,Lianga,"16,181","19,701","3,520",21.75
REGION III,Aurora,Dilasag,"7,952","9,547","1,595",20.06
REGION IV-B,Romblon,Looc,"11,161","12,981","1,820",16.31
REGION III,Tarlac,Paniqui,"47,904","57,105","9,201",19.21
REGION IV-B,Oriental Mindoro,Socorro,"17,262","21,043","3,781",21.9
REGION III,Pampanga,Masantol,"29,793","35,867","6,074",20.39
REGION VIII,Eastern Samar,Quinapondan,"8,182","8,891",709,8.67
REGION VI,Iloilo,Miagao,"30,989","36,169","5,180",16.72
REGION IV-B,Romblon,Santa Fe,"8,715","9,722","1,007",11.55
REGION VI,Negros Occidental,Victorias City,"46,997","52,870","5,873",12.5
REGION V,Camarines Sur,Balatan,"14,896","17,225","2,329",15.64
REGION III,Aurora,Maria Aurora,"20,071","24,178","4,107",20.46
NCR,NCR,Pateros,"27,885","33,248","5,363",19.23
BARMM,Lanao Del Sur,Bacolod-Kalawi,"5,152","7,642","2,490",48.33
REGION IV-A,Quezon,Calauag,"32,726","39,532","6,806",20.8
REGION X,Lanao Del Norte,Magsaysay,"6,792","8,438","1,646",24.23
REGION IV-A,Laguna,Santa Cruz,"54,103","66,685","12,582",23.26
REGION IX,Zamboanga Sibugay,Ipil,"39,713","47,360","7,647",19.26
REGION IV-A,Quezon,Real,"15,488","19,894","4,406",28.45
REGION VIII,Samar (Western Samar),Almagro,"7,733","8,918","1,185",15.32
REGION IV-A,Quezon,Sampaloc,"7,301","8,621","1,320",18.08
REGION III,Aurora,Dipaculao,"15,203","17,657","2,454",16.14
BARMM,Lanao Del Sur,Lumba-Bayabao,"11,095","16,016","4,921",44.35
CAR,Benguet,Tuba,"19,652","22,603","2,951",15.02
BARMM,Basilan,Al-Barka,"6,782","8,726","1,944",28.66
BARMM,Lanao Del Sur,Marogong,"8,741","8,173",-568,-6.5
REGION IV-B,Palawan,Taytay,"33,089","43,604","10,515",31.78
CARAGA,Agusan Del Sur,Loreto,"18,678","20,537","1,859",9.95
REGION XII,Cotabato (North Cotabato),M'lang,"42,172","49,447","7,275",17.25
REGION III,Bulacan,Dona Remedios Trinidad,"17,227","20,261","3,034",17.61
REGION XII,Cotabato (North Cotabato),Pikit,"41,778","25,753","-16,025",-38.36
REGION IV-A,Rizal,San Mateo,"79,491","96,783","17,292",21.75
REGION IV-B,Palawan,Magsaysay,"5,911","6,808",897,15.18
REGION IV-A,Laguna,Pakil,"11,234","13,502","2,268",20.19
REGION IV-B,Palawan,Roxas,"31,030","37,315","6,285",20.25
BARMM,Lanao Del Sur,Pualas,"5,164","7,101","1,937",37.51
REGION XI,Davao Oriental,Manay,"19,970","25,647","5,677",28.43
REGION XI,Davao Del Sur,Santa Cruz,"47,172","56,726","9,554",20.25
REGION XI,Davao Del Norte,Talaingod,"9,257","12,557","3,300",35.65
NCR,NCR,City of Valenzuela,"281,574","363,995","82,421",29.27
REGION XII,Sultan Kudarat,Lebak,"36,842","43,861","7,019",19.05
REGION VIII,Leyte,Mayorga,"9,814","10,664",850,8.66
