Municipality,Province,Gender,Registered voters (2019),Registered voters (2022),Change,Percentage change
San Jose,Romblon,MALE,"3,539.0","3,827",288.0,8.14
San Jose,Tarlac,MALE,"9,392.0","10,243",851.0,9.06
San Jose City,Nueva Ecija,MALE,"49,008.0","49,339",331.0,0.68
San Jose De Buan,Samar (Western Samar),MALE,"2,915.0","3,438",523.0,17.94
San Jose Del Monte  City,Bulacan,MALE,"109,638.0","115,318","5,680.0",5.18
San Juan,Abra,MALE,"3,970.0","4,067",97.0,2.44
San Juan,Batangas,MALE,"33,149.0","34,830","1,681.0",5.07
San Juan,La Union,MALE,"12,590.0","13,513",923.0,7.33
San Juan,Siquijor,MALE,"5,587.0","5,903",316.0,5.66
San Juan (Cabalian),Southern Leyte,MALE,"4,835.0","5,049",214.0,4.43
San Juan (Lapog),Ilocos Sur,MALE,"9,141.0","9,750",609.0,6.66
San Juan City,Ncr,MALE,"37,430.0","50,430","13,000.0",34.73
San Julian,Eastern Samar,MALE,"5,463.0","5,436",-27.0,-0.49
San Leonardo,Nueva Ecija,MALE,"20,026.0","20,861",835.0,4.17
San Lorenzo,Guimaras,MALE,"9,046.0","9,551",505.0,5.58
San Lorenzo Ruiz (Imelda),Camarines Norte,MALE,"5,202.0","5,601",399.0,7.67
San Luis,Agusan Del Sur,MALE,"9,847.0","10,475",628.0,6.38
San Luis,Aurora,MALE,"8,906.0","9,757",851.0,9.56
San Luis,Batangas,MALE,"11,909.0","12,401",492.0,4.13
San Luis,Pampanga,MALE,"17,235.0","17,978",743.0,4.31
San Manuel,Isabela,MALE,"10,882.0","11,050",168.0,1.54
San Manuel,Pangasinan,MALE,"14,719.0","15,630",911.0,6.19
San Manuel,Tarlac,MALE,"8,398.0","8,948",550.0,6.55
San Marcelino,Zambales,MALE,"10,982.0","11,995","1,013.0",9.22
San Mariano,Isabela,MALE,"16,364.0","17,788","1,424.0",8.7
San Mateo,Isabela,MALE,"18,339.0","20,670","2,331.0",12.71
San Mateo,Rizal,MALE,"48,015.0","49,730","1,715.0",3.57
San Miguel,Bohol,MALE,"7,897.0","8,642",745.0,9.43
San Miguel,Bulacan,MALE,"45,744.0","48,845","3,101.0",6.78
San Miguel,Catanduanes,MALE,"6,292.0","6,174",-118.0,-1.88
San Miguel,Iloilo,MALE,"9,852.0","10,462",610.0,6.19
San Miguel,Leyte,MALE,"7,287.0","7,633",346.0,4.75
San Miguel,Surigao Del Sur,MALE,"12,848.0","14,212","1,364.0",10.62
San Miguel,Zamboanga Del Sur,MALE,"6,351.0","6,956",605.0,9.53
San Narciso,Quezon,MALE,"14,981.0","16,089","1,108.0",7.4
San Narciso,Zambales,MALE,"9,838.0","10,209",371.0,3.77
San Nicolas,Batangas,MALE,"8,643.0","8,707",64.0,0.74
San Nicolas,Ilocos Norte,MALE,"11,990.0","13,202","1,212.0",10.11
San Nicolas,Pangasinan,MALE,"12,979.0","13,601",622.0,4.79
San Pablo,Isabela,MALE,"7,968.0","8,426",458.0,5.75
San Pablo,Zamboanga Del Sur,MALE,"9,079.0","9,208",129.0,1.42
San Pablo City,Laguna,MALE,"65,181.0","68,499","3,318.0",5.09
San Pascual,Batangas,MALE,"20,276.0","19,928",-348.0,-1.72
San Pascual,Masbate,MALE,"13,582.0","14,379",797.0,5.87
San Pedro City,Laguna,MALE,"85,228.0","80,478","-4,750.0",-5.57
San Policarpo,Eastern Samar,MALE,"6,160.0","6,869",709.0,11.51
