province,age,registered_2022
Apayao,46,1315
Apayao,47,1346
Apayao,48,1249
Apayao,49,1415
Apayao,50,1212
Apayao,51,1175
Apayao,52,1305
Apayao,53,1175
Apayao,54,1054
Apayao,55,1035
Apayao,56,1019
Apayao,57,1121
Apayao,58,1062
Apayao,59,1043
Apayao,60_and_over,12825
Aurora,18,3600
Aurora,19,4047
Aurora,20,4315
Aurora,21,4630
Aurora,22,4408
Aurora,23,4140
Aurora,24,4178
Aurora,25,4026
Aurora,26,4085
Aurora,27,4057
Aurora,28,4094
Aurora,29,3972
Aurora,30,3747
Aurora,31,3765
Aurora,32,3774
Aurora,33,3456
Aurora,34,3493
Aurora,35,3092
Aurora,36,3198
Aurora,37,3020
Aurora,38,2948
Aurora,39,2943
Aurora,40,2736
Aurora,41,2840
Aurora,42,2815
Aurora,43,2783
Aurora,44,2651
Aurora,45,2611
Aurora,46,2481
Aurora,47,2539
Aurora,48,2454
Aurora,49,2622
Aurora,50,2382
Aurora,51,2371
Aurora,52,2540
Aurora,53,2336
Aurora,54,2206
Aurora,55,2090
Aurora,56,2110
Aurora,57,2049
Aurora,58,1997
Aurora,59,1969
Aurora,60_and_over,23118
Basilan,18,7296
Basilan,19,8714
Basilan,20,8053
Basilan,21,9469
Basilan,22,9152
Basilan,23,7922
Basilan,24,8806
Basilan,25,8546
Basilan,26,7710
Basilan,27,10329
Basilan,28,11393
Basilan,29,9338
Basilan,30,8050
Basilan,31,7467
Basilan,32,7117
Basilan,33,6802
Basilan,34,6498
Basilan,35,5732
Basilan,36,6409
Basilan,37,7011
Basilan,38,6165
Basilan,39,5797
Basilan,40,5174
Basilan,41,5392
Basilan,42,5808
Basilan,43,5064
Basilan,44,4790
Basilan,45,4294
Basilan,46,4575
Basilan,47,4543
Basilan,48,4188
Basilan,49,4827
Basilan,50,4152
Basilan,51,3872
Basilan,52,4550
Basilan,53,4137
Basilan,54,3939
Basilan,55,3192
Basilan,56,3312
Basilan,57,3509
Basilan,58,3180
Basilan,59,3327
Basilan,60_and_over,37721
Bataan,18,10782
Bataan,19,13411
Bataan,20,14352
Bataan,21,15500
Bataan,22,14757
Bataan,23,14256
Bataan,24,15456
Bataan,25,15013
Bataan,26,14859
Bataan,27,14587
Bataan,28,14146
Bataan,29,14062
Bataan,30,13908
Bataan,31,14030
Bataan,32,13575
Bataan,33,12436
Bataan,34,13022
Bataan,35,12444
Bataan,36,11749
Bataan,37,11734
Bataan,38,11653
Bataan,39,11622
Bataan,40,11541
Bataan,41,11569
Bataan,42,11448
Bataan,43,11179
Bataan,44,10439
Bataan,45,10073
Bataan,46,9729
Bataan,47,8860
Bataan,48,8655
Bataan,49,8847
Bataan,50,8607
Bataan,51,8918
Bataan,52,9233
Bataan,53,8775
Bataan,54,8137
Bataan,55,7617
Bataan,56,7691
Bataan,57,7579
Bataan,58,7134
Bataan,59,7329
Bataan,60_and_over,85765
Batanes,18,320
Batanes,19,329
Batanes,20,341
Batanes,21,360
Batanes,22,323
Batanes,23,287
Batanes,24,330
Batanes,25,332
Batanes,26,352
Batanes,27,341
Batanes,28,335
Batanes,29,320
Batanes,30,322
Batanes,31,303
Batanes,32,312
Batanes,33,264
Batanes,34,264
Batanes,35,264
Batanes,36,251
Batanes,37,265
Batanes,38,264
Batanes,39,255
Batanes,40,266
Batanes,41,230
Batanes,42,243
Batanes,43,276
Batanes,44,226
Batanes,45,243
Batanes,46,228
Batanes,47,246
Batanes,48,243
Batanes,49,264
Batanes,50,224
Batanes,51,251
Batanes,52,210
Batanes,53,221
Batanes,54,201
Batanes,55,209
Batanes,56,186
Batanes,57,199
Batanes,58,198
Batanes,59,170
Batanes,60_and_over,2552
Batangas,18,33408
Batangas,19,43976
Batangas,20,46054
Batangas,21,49839
Batangas,22,48481
Batangas,23,46936
Batangas,24,49686
Batangas,25,49008
Batangas,26,48821
Batangas,27,48408
Batangas,28,47673
Batangas,29,46693
Batangas,30,45958
Batangas,31,44659
Batangas,32,42413
Batangas,33,39197
Batangas,34,41192
Batangas,35,39144
Batangas,36,37447
Batangas,37,37575
Batangas,38,37393
Batangas,39,37946
Batangas,40,37699
Batangas,41,37937
Batangas,42,36533
Batangas,43,35892
Batangas,44,33779
Batangas,45,32839
Batangas,46,32095
Batangas,47,29761
Batangas,48,30316
Batangas,49,28767
Batangas,50,28571
Batangas,51,28177
Batangas,52,29092
Batangas,53,27114
Batangas,54,25597
Batangas,55,24666
Batangas,56,23536
Batangas,57,22972
Batangas,58,21981
Batangas,59,21833
Batangas,60_and_over,268007
Benguet,18,5482
Benguet,19,8263
Benguet,20,8839
Benguet,21,10139
Benguet,22,9916
Benguet,23,9813
Benguet,24,10045
Benguet,25,10108
Benguet,26,10161
Benguet,27,10472
Benguet,28,10341
Benguet,29,10393
Benguet,30,10535
Benguet,31,10382
Benguet,32,10236
Benguet,33,9843
Benguet,34,9950
Benguet,35,9331
Benguet,36,8739
Benguet,37,8906
Benguet,38,8920
Benguet,39,9043
Benguet,40,8507
Benguet,41,8585
Benguet,42,8321
Benguet,43,8052
Benguet,44,7575
Benguet,45,7095
Benguet,46,6915
Benguet,47,6445
Benguet,48,6471
Benguet,49,6596
Benguet,50,6373
Benguet,51,6465
Benguet,52,6717
Benguet,53,6518
Benguet,54,6241
Benguet,55,6083
Benguet,56,5933
Benguet,57,6073
Benguet,58,5909
Benguet,59,5869
Benguet,60_and_over,65374
Biliran,18,3188
Biliran,19,3425
Biliran,20,3535
Biliran,21,3883
Biliran,22,3575
Biliran,23,3519
Biliran,24,3510
Biliran,25,3334
Biliran,26,3288
Biliran,27,3180
Biliran,28,3123
Biliran,29,3036
Biliran,30,2910
Biliran,31,2977
Biliran,32,2503
Biliran,33,2601
Biliran,34,2463
Biliran,35,2393
Biliran,36,2127
Biliran,37,2167
Biliran,38,2116
Biliran,39,2202
Biliran,40,2115
Biliran,41,2087
Biliran,42,1954
Biliran,43,2010
Biliran,44,1996
Biliran,45,1964
Biliran,46,2004
Biliran,47,1824
Biliran,48,1972
Biliran,49,1834
Biliran,50,1729
Biliran,51,1849
Biliran,52,1865
Biliran,53,1830
Biliran,54,1633
Biliran,55,1727
Biliran,56,1627
Biliran,57,1570
Biliran,58,1634
Biliran,59,1616
Biliran,60_and_over,21337
Bohol,18,23713
Bohol,19,25540
Bohol,20,25987
Bohol,21,28046
Bohol,22,27129
Bohol,23,23581
Bohol,24,25003
Bohol,25,22828
Bohol,26,22812
Bohol,27,22938
Bohol,28,23014
Bohol,29,22363
Bohol,30,22172
Bohol,31,21420
Bohol,32,21200
Bohol,33,20836
Bohol,34,19444
Bohol,35,18853
Bohol,36,17350
Bohol,37,17603
Bohol,38,16798
Bohol,39,17573
Bohol,40,16708
Bohol,41,16628
Bohol,42,16657
