municipality,province,absolute_change
BANGA,SOUTH COTABATO,3642.0
BANGAR,LA UNION,-181.0
BANGUED,ABRA,2323.0
BANGUI,ILOCOS NORTE,-102.0
BANI,PANGASINAN,662.0
BANISILAN,COTABATO (NORTH COTABATO),1069.0
BANNA (ESPIRITU),ILOCOS NORTE,63.0
BANSALAN,DAVAO DEL SUR,4275.0
BANSUD,ORIENTAL MINDORO,1793.0
BANTAY,ILOCOS SUR,918.0
BANTAYAN,CEBU,3906.0
BANTON,ROMBLON,-27.0
BARAS,CATANDUANES,-134.0
BARAS,RIZAL,5481.0
BARBAZA,ANTIQUE,-150.0
BARCELONA,SORSOGON,925.0
BARILI,CEBU,6257.0
BARIRA,MAGUINDANAO,5937.0
BARLIG,MOUNTAIN PROVINCE,214.0
BAROBO,SURIGAO DEL SUR,3614.0
BAROTAC NUEVO,ILOILO,1309.0
BAROTAC VIEJO,ILOILO,713.0
BAROY,LANAO DEL NORTE,2113.0
BARUGO,LEYTE,1493.0
BASAY,NEGROS ORIENTAL,969.0
BASCO,BATANES,809.0
BASEY,SAMAR (WESTERN SAMAR),3333.0
BASILISA (RIZAL),DINAGAT ISLANDS,176.0
BASISTA,PANGASINAN,2176.0
BASUD,CAMARINES NORTE,1552.0
BATAC CITY,ILOCOS NORTE,1903.0
BATAD,ILOILO,604.0
BATAN,AKLAN,102.0
BATANGAS CITY,BATANGAS,-3059.0
BATARAZA,PALAWAN,8128.0
BATO,CAMARINES SUR,1420.0
BATO,CATANDUANES,291.0
BATO,LEYTE,1543.0
BATUAN,BOHOL,364.0
BATUAN,MASBATE,-190.0
BAUAN,BATANGAS,2567.0
BAUANG,LA UNION,6634.0
BAUKO,MOUNTAIN PROVINCE,2519.0
BAUNGON,BUKIDNON,2672.0
BAUTISTA,PANGASINAN,1812.0
BAY,LAGUNA,3639.0
BAYABAS,SURIGAO DEL SUR,417.0
BAYAMBANG,PANGASINAN,7172.0
BAYANG,LANAO DEL SUR,1121.0
BAYAWAN CITY (TULONG),NEGROS ORIENTAL,3187.0
BAYBAY CITY,LEYTE,3757.0
BAYOG,ZAMBOANGA DEL SUR,318.0
BAYOMBONG,NUEVA VIZCAYA,4079.0
BAYUGAN  CITY,AGUSAN DEL SUR,4577.0
BELISON,ANTIQUE,353.0
BENITO SOLIVEN,ISABELA,869.0
BESAO,MOUNTAIN PROVINCE,1034.0
BIEN UNIDO,BOHOL,514.0
BILAR,BOHOL,573.0
BILIRAN,BILIRAN,310.0
BINALBAGAN,NEGROS OCCIDENTAL,1699.0
BINALONAN,PANGASINAN,3414.0
BINANGONAN,RIZAL,-7708.0
BINDOY (PAYABON),NEGROS ORIENTAL,742.0
BINGAWAN,ILOILO,540.0
BINIDAYAN,LANAO DEL SUR,3058.0
BINMALEY,PANGASINAN,3038.0
BINUANGAN,MISAMIS ORIENTAL,401.0
BIRI,NORTHERN SAMAR,748.0
