municipality,province,absolute_change
JIMENEZ,MISAMIS OCCIDENTAL,2259.0
JIPAPAD,EASTERN SAMAR,617.0
JOLO,SULU,3541.0
JOMALIG,QUEZON,582.0
JONES,ISABELA,276.0
JORDAN,GUIMARAS,1486.0
JOSE ABAD SANTOS (TRINIDAD),DAVAO OCCIDENTAL,5271.0
JOSE DALMAN (PONOT),ZAMBOANGA DEL NORTE,2120.0
JOSE PANGANIBAN,CAMARINES NORTE,2582.0
JOSEFINA,ZAMBOANGA DEL SUR,644.0
JOVELLAR,ALBAY,51.0
JUBAN,SORSOGON,1641.0
JULITA,LEYTE,73.0
KABACAN,COTABATO (NORTH COTABATO),403.0
KABANKALAN CITY,NEGROS OCCIDENTAL,-518.0
KABASALAN,ZAMBOANGA SIBUGAY,-116.0
KABAYAN,BENGUET,807.0
KABUGAO,APAYAO,618.0
KABUNTALAN (TUMBAO),MAGUINDANAO,1826.0
KADINGILAN,BUKIDNON,-1001.0
KALAMANSIG,SULTAN KUDARAT,3763.0
KALAWIT,ZAMBOANGA DEL NORTE,-402.0
KALAYAAN,LAGUNA,1217.0
KALAYAAN,PALAWAN,110.0
KALIBO,AKLAN,3590.0
KALILANGAN,BUKIDNON,1717.0
KALINGALAN CALUANG,SULU,1664.0
KANANGA,LEYTE,1900.0
KAPAI,LANAO DEL SUR,2944.0
KAPALONG,DAVAO (DAVAO DEL NORTE),3831.0
KAPANGAN,BENGUET,924.0
KAPATAGAN,LANAO DEL NORTE,1647.0
KAPATAGAN,LANAO DEL SUR,1828.0
KASIBU,NUEVA VIZCAYA,1950.0
KATIPUNAN,ZAMBOANGA DEL NORTE,2560.0
KAUSWAGAN,LANAO DEL NORTE,355.0
KAWAYAN,BILIRAN,-455.0
KAWIT,CAVITE,9705.0
KAYAPA,NUEVA VIZCAYA,714.0
KIAMBA,SARANGANI,79.0
KIANGAN,IFUGAO,676.0
KIBAWE,BUKIDNON,1520.0
KIBLAWAN,DAVAO DEL SUR,523.0
KIBUNGAN,BENGUET,311.0
KINOGUITAN,MISAMIS ORIENTAL,642.0
KITAOTAO,BUKIDNON,1605.0
KITCHARAO,AGUSAN DEL NORTE,575.0
KOLAMBUGAN,LANAO DEL NORTE,619.0
KORONADAL CITY,SOUTH COTABATO,14366.0
KUMALARANG,ZAMBOANGA DEL SUR,956.0
LA CARLOTA CITY,NEGROS OCCIDENTAL,-126.0
LA CASTELLANA,NEGROS OCCIDENTAL,6594.0
LA LIBERTAD,NEGROS ORIENTAL,175.0
LA LIBERTAD,ZAMBOANGA DEL NORTE,-102.0
LA PAZ,ABRA,978.0
LA PAZ,AGUSAN DEL SUR,514.0
LA PAZ,LEYTE,440.0
LA PAZ,TARLAC,4356.0
LA TRINIDAD,BENGUET,7109.0
LAAK (SAN VICENTE),DAVAO DE ORO (COMPOSTELA VALLEY),3310.0
LABANGAN,ZAMBOANGA DEL SUR,-463.0
LABASON,ZAMBOANGA DEL NORTE,1637.0
LABO,CAMARINES NORTE,7013.0
LABRADOR,PANGASINAN,628.0
LACUB,ABRA,91.0
LAGANGILANG,ABRA,613.0
LAGAWE,IFUGAO,1169.0
LAGAYAN,ABRA,309.0
LAGONGLONG,MISAMIS ORIENTAL,694.0
LAGONOY,CAMARINES SUR,1321.0
LAGUINDINGAN,MISAMIS ORIENTAL,1279.0
LAKE SEBU,SOUTH COTABATO,5807.0
LAKEWOOD,ZAMBOANGA DEL SUR,705.0
LAL-LO,CAGAYAN,-124.0
LALA,LANAO DEL NORTE,6069.0
LAMBAYONG (MARIANO MARCOS),SULTAN KUDARAT,5991.0
LAMBUNAO,ILOILO,870.0
LAMITAN CITY,BASILAN,-1489.0
LAMUT,IFUGAO,1766.0
LANGIDEN,ABRA,-107.0
LANGUYAN,TAWI-TAWI,1664.0
LANTAPAN,BUKIDNON,3450.0
LANTAWAN,BASILAN,3467.0
LANUZA,SURIGAO DEL SUR,539.0
LAOAC,PANGASINAN,1365.0
LAOAG CITY,ILOCOS NORTE,5088.0
LAOANG,NORTHERN SAMAR,-2130.0
LAPINIG,NORTHERN SAMAR,-571.0
LAPU-LAPU CITY (OPON),CEBU,31278.0
LAPUYAN,ZAMBOANGA DEL SUR,662.0
LARENA,SIQUIJOR,472.0
LAS NAVAS,NORTHERN SAMAR,2411.0
LAS NIEVES,AGUSAN DEL NORTE,1301.0
LASAM,CAGAYAN,543.0
LAUA-AN,ANTIQUE,12.0
LAUR,NUEVA ECIJA,2708.0
LAUREL,BATANGAS,1854.0
LAVEZARES,NORTHERN SAMAR,-596.0
LAWAAN,EASTERN SAMAR,367.0
LAZI,SIQUIJOR,312.0
LEBAK,SULTAN KUDARAT,8970.0
LEGANES,ILOILO,2528.0
LEGAZPI CITY,ALBAY,6452.0
LEMERY,BATANGAS,-1727.0
LEMERY,ILOILO,1059.0
LEON,ILOILO,1109.0
LEYTE,LEYTE,1448.0
LEZO,AKLAN,372.0
LIAN,BATANGAS,45.0
LIANGA,SURIGAO DEL SUR,1370.0
LIBACAO,AKLAN,271.0
LIBAGON,SOUTHERN LEYTE,-18.0
LIBERTAD,ANTIQUE,437.0
LIBERTAD,MISAMIS ORIENTAL,637.0
LIBJO (ALBOR),DINAGAT ISLANDS,409.0
LIBMANAN,CAMARINES SUR,3062.0
LIBON,ALBAY,-806.0
LIBONA,BUKIDNON,1556.0
LIBUNGAN,COTABATO (NORTH COTABATO),3306.0
LICAB,NUEVA ECIJA,646.0
LICUAN-BAAY (LICUAN),ABRA,-93.0
LIDLIDDA,ILOCOS SUR,57.0
LILA,BOHOL,209.0
LILIW,LAGUNA,1839.0
LILOAN,CEBU,9808.0
LILOAN,SOUTHERN LEYTE,-708.0
LILOY,ZAMBOANGA DEL NORTE,-764.0
LIMASAWA,SOUTHERN LEYTE,-45.0
LIMAY,BATAAN,2794.0
LINAMON,LANAO DEL NORTE,14.0
LINAPACAN,PALAWAN,1076.0
LINGAYEN,PANGASINAN,5858.0
LINGIG,SURIGAO DEL SUR,1498.0
LIPA CITY,BATANGAS,21883.0
LLANERA,NUEVA ECIJA,-1538.0
LLORENTE,EASTERN SAMAR,-647.0
LOAY,BOHOL,-156.0
LOBO,BATANGAS,517.0
LOBOC,BOHOL,917.0
LOOC,OCCIDENTAL MINDORO,-40.0
LOOC,ROMBLON,534.0
LOON,BOHOL,182.0
LOPE DE VEGA,NORTHERN SAMAR,1097.0
LOPEZ,QUEZON,4513.0
LOPEZ JAENA,MISAMIS OCCIDENTAL,433.0
LORETO,AGUSAN DEL SUR,1670.0
LORETO,DINAGAT ISLANDS,-73.0
LOS BANOS,LAGUNA,6187.0
LUBA,ABRA,-118.0
LUBANG,OCCIDENTAL MINDORO,309.0
LUBAO,PAMPANGA,4336.0
LUBUAGAN,KALINGA,2472.0
LUCBAN,QUEZON,6433.0
LUCENA CITY,QUEZON,19676.0
LUGAIT,MISAMIS ORIENTAL,824.0
LUGUS,SULU,3374.0
LUISIANA,LAGUNA,392.0
LUMBA-BAYABAO (MAGUING),LANAO DEL SUR,2323.0
LUMBACA-UNAYAN,LANAO DEL SUR,3330.0
LUMBAN,LAGUNA,1367.0
LUMBATAN,LANAO DEL SUR,1595.0
LUMBAYANAGUE,LANAO DEL SUR,328.0
LUNA,APAYAO,-18.0
LUNA,ISABELA,1687.0
LUNA,LA UNION,1225.0
LUPAO,NUEVA ECIJA,1425.0
LUPI,CAMARINES SUR,1260.0
LUPON,DAVAO ORIENTAL,1827.0
LUTAYAN,SULTAN KUDARAT,2890.0
LUUK,SULU,5856.0
M'LANG,COTABATO (NORTH COTABATO),12976.0
MA-AYON,CAPIZ,834.0
MAASIM,SARANGANI,3127.0
MAASIN,ILOILO,948.0
MAASIN CITY,SOUTHERN LEYTE,366.0
MABALACAT CITY,PAMPANGA,16264.0
MABINAY,NEGROS ORIENTAL,5841.0
MABINI,BATANGAS,457.0
MABINI,BOHOL,1123.0
MABINI,PANGASINAN,1035.0
MABINI (DONA ALICIA),DAVAO DE ORO (COMPOSTELA VALLEY),2513.0
MABITAC,LAGUNA,1581.0
MABUHAY,ZAMBOANGA SIBUGAY,650.0
MACABEBE,PAMPANGA,-1800.0
MACALELON,QUEZON,503.0
MACARTHUR,LEYTE,1348.0
MACO,DAVAO DE ORO (COMPOSTELA VALLEY),6580.0
MACONACON,ISABELA,269.0
MACROHON,SOUTHERN LEYTE,60.0
MADALAG,AKLAN,526.0
MADALUM,LANAO DEL SUR,1641.0
MADAMBA,LANAO DEL SUR,1483.0
MADDELA,QUIRINO,1524.0
MADRID,SURIGAO DEL SUR,1496.0
MADRIDEJOS,CEBU,1989.0
MAGALANG,PAMPANGA,11920.0
MAGALLANES,AGUSAN DEL NORTE,381.0
MAGALLANES,CAVITE,927.0
MAGALLANES,SORSOGON,1769.0
MAGARAO,CAMARINES SUR,1299.0
MAGDALENA,LAGUNA,1491.0
MAGDIWANG,ROMBLON,468.0
MAGPET,COTABATO (NORTH COTABATO),28937.0
MAGSAYSAY,DAVAO DEL SUR,1542.0
MAGSAYSAY,LANAO DEL NORTE,2536.0
MAGSAYSAY,OCCIDENTAL MINDORO,2292.0
MAGSAYSAY,PALAWAN,140.0
MAGSAYSAY (LINUGOS),MISAMIS ORIENTAL,1911.0
MAGSINGAL,ILOCOS SUR,1286.0
MAGUING,LANAO DEL SUR,1960.0
MAHAPLAG,LEYTE,-90.0
MAHATAO,BATANES,230.0
MAHAYAG,ZAMBOANGA DEL SUR,3677.0
MAHINOG,CAMIGUIN,-23.0
MAIGO,LANAO DEL NORTE,374.0
MAIMBUNG,SULU,7737.0
MAINIT,SURIGAO DEL NORTE,500.0
MAITUM,SARANGANI,-3413.0
MAJAYJAY,LAGUNA,960.0
MAKATO,AKLAN,1219.0
MAKILALA,COTABATO (NORTH COTABATO),-15603.0
MALABANG,LANAO DEL SUR,17451.0
MALABON CITY,NCR,35765.0
MALABUYOC,CEBU,190.0
MALALAG,DAVAO DEL SUR,1069.0
MALANGAS,ZAMBOANGA SIBUGAY,640.0
MALAPATAN,SARANGANI,2271.0
MALASIQUI,PANGASINAN,4473.0
MALAY,AKLAN,1222.0
MALIBCONG,ABRA,42.0
MALILIPOT,ALBAY,2440.0
MALIMONO,SURIGAO DEL NORTE,603.0
MALINAO,AKLAN,670.0
MALINAO,ALBAY,1372.0
MALITA,DAVAO OCCIDENTAL,1773.0
MALITBOG,BUKIDNON,1340.0
MALITBOG,SOUTHERN LEYTE,-224.0
MALLIG,ISABELA,1573.0
MALOLOS CITY,BULACAN,3605.0
MALUNGON,SARANGANI,2556.0
MALUSO,BASILAN,4971.0
MALVAR,BATANGAS,4800.0
MAMASAPANO,MAGUINDANAO,3664.0
MAMBAJAO,CAMIGUIN,883.0
MAMBURAO,OCCIDENTAL MINDORO,1843.0
MAMBUSAO,CAPIZ,-168.0
MANABO,ABRA,158.0
MANAOAG,PANGASINAN,582.0
MANAPLA,NEGROS OCCIDENTAL,1567.0
MANAY,DAVAO ORIENTAL,2917.0
MANDAON,MASBATE,1075.0
MANDAUE CITY,CEBU,8490.0
MANGALDAN,PANGASINAN,2797.0
MANGATAREM,PANGASINAN,3227.0
MANGUDADATU,MAGUINDANAO,1988.0
MANITO,ALBAY,1223.0
MANJUYOD,NEGROS ORIENTAL,632.0
MANKAYAN,BENGUET,486.0
MANOLO FORTICH,BUKIDNON,4317.0
MANSALAY,ORIENTAL MINDORO,2344.0
MANTICAO,MISAMIS ORIENTAL,672.0
MANUKAN,ZAMBOANGA DEL NORTE,1294.0
MAPANAS,NORTHERN SAMAR,-621.0
MAPANDAN,PANGASINAN,1513.0
MAPUN (CAGAYAN DE TAWI-TAWI),TAWI-TAWI,199.0
MARABUT,SAMAR (WESTERN SAMAR),-528.0
MARAGONDON,CAVITE,3841.0
MARAGUSAN (SAN MARIANO),DAVAO DE ORO (COMPOSTELA VALLEY),3828.0
MARAMAG,BUKIDNON,5973.0
MARANTAO,LANAO DEL SUR,9829.0
MARAWI CITY,LANAO DEL SUR,16230.0
MARCOS,ILOCOS NORTE,306.0
MARGOSATUBIG,ZAMBOANGA DEL SUR,2676.0
MARIA,SIQUIJOR,-29.0
MARIA AURORA,AURORA,1527.0
MARIBOJOC,BOHOL,565.0
MARIHATAG,SURIGAO DEL SUR,1601.0
MARILAO,BULACAN,7006.0
MARIPIPI,BILIRAN,-53.0
MARIVELES,BATAAN,4672.0
MAROGONG,LANAO DEL SUR,970.0
MASANTOL,PAMPANGA,252.0
MASBATE CITY,MASBATE,7374.0
MASINLOC,ZAMBALES,3110.0
MASIU,LANAO DEL SUR,2051.0
MASLOG,EASTERN SAMAR,-128.0
MATAAS NA KAHOY,BATANGAS,1574.0
MATAG-OB,LEYTE,556.0
MATALAM,COTABATO (NORTH COTABATO),13129.0
MATALOM,LEYTE,496.0
MATANAO,DAVAO DEL SUR,1429.0
MATANOG,MAGUINDANAO,4098.0
MATI  CITY,DAVAO ORIENTAL,11098.0
MATNOG,SORSOGON,3571.0
MATUGUINAO,SAMAR (WESTERN SAMAR),316.0
MATUNGAO,LANAO DEL NORTE,2801.0
MAUBAN,QUEZON,2678.0
MAWAB,DAVAO DE ORO (COMPOSTELA VALLEY),2507.0
MAYANTOC,TARLAC,989.0
MAYDOLONG,EASTERN SAMAR,91.0
MAYORGA,LEYTE,-323.0
MAYOYAO,IFUGAO,-179.0
MEDELLIN,CEBU,3250.0
MEDINA,MISAMIS ORIENTAL,1001.0
MENDEZ (MENDEZ-NUNEZ),CAVITE,1620.0
MERCEDES,CAMARINES NORTE,3055.0
MERCEDES,EASTERN SAMAR,98.0
MERIDA,LEYTE,641.0
MEXICO,PAMPANGA,8051.0
MEYCAUAYAN CITY,BULACAN,259.0
MIAGAO,ILOILO,257.0
MIDSALIP,ZAMBOANGA DEL SUR,980.0
MIDSAYAP,COTABATO (NORTH COTABATO),-30210.0
MILAGROS,MASBATE,-544.0
MILAOR,CAMARINES SUR,1944.0
MINA,ILOILO,230.0
MINALABAC,CAMARINES SUR,1840.0
MINALIN,PAMPANGA,3025.0
MINGLANILLA,CEBU,9378.0
MOALBOAL,CEBU,1130.0
MOBO,MASBATE,1624.0
MOGPOG,MARINDUQUE,204.0
MOISES PADILLA (MAGALLON),NEGROS OCCIDENTAL,-477.0
MOLAVE,ZAMBOANGA DEL SUR,2376.0
MONCADA,TARLAC,2064.0
MONDRAGON,NORTHERN SAMAR,1864.0
MONKAYO,DAVAO DE ORO (COMPOSTELA VALLEY),6950.0
MONREAL,MASBATE,2989.0
MONTEVISTA,DAVAO DE ORO (COMPOSTELA VALLEY),3051.0
MORONG,BATAAN,2381.0
MORONG,RIZAL,2375.0
MOTIONG,SAMAR (WESTERN SAMAR),278.0
MULANAY,QUEZON,2984.0
MULONDO,LANAO DEL SUR,725.0
MUNAI,LANAO DEL NORTE,4195.0
MURCIA,NEGROS OCCIDENTAL,1810.0
MUTIA,ZAMBOANGA DEL NORTE,1101.0
NAAWAN,MISAMIS ORIENTAL,595.0
NABAS,AKLAN,2519.0
NABUA,CAMARINES SUR,6274.0
NABUNTURAN,DAVAO DE ORO (COMPOSTELA VALLEY),2007.0
NAGA,ZAMBOANGA SIBUGAY,-384.0
NAGA CITY,CAMARINES SUR,12115.0
NAGA CITY,CEBU,7805.0
NAGBUKEL,ILOCOS SUR,-211.0
NAGCARLAN,LAGUNA,4878.0
NAGTIPUNAN,QUIRINO,2225.0
NAGUILIAN,ISABELA,559.0
NAGUILIAN,LA UNION,1379.0
NAIC,CAVITE,16410.0
NAMPICUAN,NUEVA ECIJA,220.0
NARRA,PALAWAN,3815.0
NARVACAN,ILOCOS SUR,2414.0
NASIPIT,AGUSAN DEL NORTE,1079.0
NASUGBU,BATANGAS,4263.0
NATIVIDAD,PANGASINAN,1027.0
NATONIN,MOUNTAIN PROVINCE,142.0
NAUJAN,ORIENTAL MINDORO,3004.0
NAVAL,BILIRAN,870.0
NAVOTAS CITY,NCR,4887.0
NEW BATAAN,DAVAO DE ORO (COMPOSTELA VALLEY),1374.0
NEW CORELLA,DAVAO (DAVAO DEL NORTE),3863.0
NEW LUCENA,ILOILO,1318.0
NEW WASHINGTON,AKLAN,2823.0
NORALA,SOUTH COTABATO,1214.0
NORTHERN KABUNTALAN,MAGUINDANAO,1328.0
NORZAGARAY,BULACAN,8169.0
NOVELETA,CAVITE,4950.0
NUEVA ERA,ILOCOS NORTE,71.0
NUEVA VALENCIA,GUIMARAS,231.0
NUMANCIA,AKLAN,1382.0
NUNUNGAN,LANAO DEL NORTE,1347.0
OAS,ALBAY,3108.0
OBANDO,BULACAN,29.0
OCAMPO,CAMARINES SUR,2154.0
ODIONGAN,ROMBLON,2327.0
OLD PANAMAO,SULU,3639.0
OLONGAPO CITY,ZAMBALES,-3114.0
OLUTANGA,ZAMBOANGA SIBUGAY,935.0
OMAR,SULU,1439.0
OPOL,MISAMIS ORIENTAL,4235.0
ORANI,BATAAN,-582.0
ORAS,EASTERN SAMAR,949.0
ORION,BATAAN,65.0
ORMOC CITY,LEYTE,9199.0
OROQUIETA CITY,MISAMIS OCCIDENTAL,3352.0
OSLOB,CEBU,265.0
OTON,ILOILO,3562.0
OZAMIS CITY,MISAMIS OCCIDENTAL,13395.0
PADADA,DAVAO DEL SUR,715.0
PADRE BURGOS,QUEZON,2695.0
PADRE BURGOS,SOUTHERN LEYTE,141.0
PADRE GARCIA,BATANGAS,1392.0
PAETE,LAGUNA,545.0
PAGADIAN CITY,ZAMBOANGA DEL SUR,14255.0
PAGAGAWAN,MAGUINDANAO,5774.0
PAGALUNGAN,MAGUINDANAO,5822.0
PAGAYAWAN (TATARIKAN),LANAO DEL SUR,1433.0
PAGBILAO,QUEZON,7564.0
PAGLAT,MAGUINDANAO,2609.0
PAGSANGHAN,SAMAR (WESTERN SAMAR),-276.0
PAGSANJAN,LAGUNA,3882.0
PAGUDPUD,ILOCOS NORTE,1784.0
PAKIL,LAGUNA,2234.0
PALANAN,ISABELA,901.0
PALANAS,MASBATE,687.0
PALAPAG,NORTHERN SAMAR,2258.0
PALAUIG,ZAMBALES,2042.0
PALAYAN CITY,NUEVA ECIJA,4281.0
PALIMBANG,SULTAN KUDARAT,5996.0
PALO,LEYTE,806.0
PALOMPON,LEYTE,2128.0
PALUAN,OCCIDENTAL MINDORO,1228.0
PAMBUJAN,NORTHERN SAMAR,-317.0
PAMPLONA,CAGAYAN,894.0
PAMPLONA,CAMARINES SUR,1643.0
PAMPLONA,NEGROS ORIENTAL,1908.0
PANABO  CITY,DAVAO (DAVAO DEL NORTE),20081.0
PANAON,MISAMIS OCCIDENTAL,-213.0
PANAY,CAPIZ,801.0
PANDAG,MAGUINDANAO,1957.0
PANDAMI,SULU,729.0
PANDAN,ANTIQUE,1151.0
PANDAN,CATANDUANES,635.0
PANDI,BULACAN,29869.0
PANGANIBAN (PAYO),CATANDUANES,47.0
PANGANTUCAN,BUKIDNON,2283.0
PANGIL,LAGUNA,1678.0
PANGLAO,BOHOL,3829.0
PANGLIMA ESTINO (NEW PANAMAO),SULU,1456.0
PANGLIMA SUGALA (BALIMBING),TAWI-TAWI,2368.0
PANGUTARAN,SULU,652.0
PANIQUI,TARLAC,6893.0
PANITAN,CAPIZ,1409.0
PANTABANGAN,NUEVA ECIJA,3582.0
PANTAO RAGAT,LANAO DEL NORTE,585.0
PANTAR,LANAO DEL NORTE,3817.0
PANTUKAN,DAVAO DE ORO (COMPOSTELA VALLEY),5951.0
PANUKULAN,QUEZON,462.0
PAOAY,ILOCOS NORTE,418.0
PAOMBONG,BULACAN,3199.0
PARACALE,CAMARINES NORTE,3288.0
PARACELIS,MOUNTAIN PROVINCE,1233.0
PARANAS (WRIGHT),SAMAR (WESTERN SAMAR),946.0
PARANG,MAGUINDANAO,10416.0
PARANG,SULU,8774.0
PASACAO,CAMARINES SUR,1435.0
PASAY CITY,NCR,-8959.0
PASIL,KALINGA,296.0
PASTRANA,LEYTE,1221.0
PASUQUIN,ILOCOS NORTE,1072.0
PATA,SULU,-220.0
PATEROS,NCR,2038.0
PATIKUL,SULU,3664.0
PATNANUNGAN,QUEZON,853.0
PATNONGON,ANTIQUE,94.0
PAVIA,ILOILO,6248.0
PAYAO,ZAMBOANGA SIBUGAY,2143.0
PENABLANCA,CAGAYAN,2419.0
PENARANDA,NUEVA ECIJA,2254.0
PENARRUBIA,ABRA,-19.0
PEREZ,QUEZON,361.0
PIAGAPO,LANAO DEL SUR,1970.0
PIAT,CAGAYAN,998.0
PICONG (SULTAN GUMANDER),LANAO DEL SUR,3145.0
PIDDIG,ILOCOS NORTE,465.0
PIDIGAN,ABRA,-79.0
PIGKAWAYAN,COTABATO (NORTH COTABATO),-4940.0
PIKIT,COTABATO (NORTH COTABATO),-26205.0
PILA,LAGUNA,983.0
PILAR,ABRA,168.0
PILAR,BATAAN,1426.0
PILAR,BOHOL,789.0
PILAR,CAPIZ,814.0
PILAR,CEBU,123.0
PILAR,SORSOGON,3539.0
PILAR,SURIGAO DEL NORTE,225.0
PILI,CAMARINES SUR,8389.0
PILILLA,RIZAL,-122.0
PINABACDAO,SAMAR (WESTERN SAMAR),478.0
PINAMALAYAN,ORIENTAL MINDORO,2552.0
PINAMUNGAHAN,CEBU,3173.0
PINAN (NEW PINAN),ZAMBOANGA DEL NORTE,1962.0
PINILI,ILOCOS NORTE,436.0
PINTUYAN,SOUTHERN LEYTE,-50.0
PINUKPUK,KALINGA,1054.0
PIO DURAN,ALBAY,-72.0
PIO V. CORPUZ (LIMBUHAN),MASBATE,-822.0
PITOGO,QUEZON,334.0
PITOGO,ZAMBOANGA DEL SUR,2529.0
PLACER,MASBATE,2481.0
PLACER,SURIGAO DEL NORTE,1969.0
PLARIDEL,BULACAN,2638.0
PLARIDEL,MISAMIS OCCIDENTAL,1270.0
PLARIDEL,QUEZON,199.0
POLA,ORIENTAL MINDORO,1864.0
POLANCO,ZAMBOANGA DEL NORTE,4652.0
POLANGUI,ALBAY,3425.0
POLILLO,QUEZON,191.0
POLOMOLOK,SOUTH COTABATO,16947.0
PONTEVEDRA,CAPIZ,898.0
PONTEVEDRA,NEGROS OCCIDENTAL,-271.0
POONA BAYABAO  (GATA),LANAO DEL SUR,3319.0
POONA PIAGAPO,LANAO DEL NORTE,548.0
PORAC,PAMPANGA,10292.0
PORO,CEBU,1512.0
POTOTAN,ILOILO,2073.0
POZZORUBIO,PANGASINAN,5743.0
PRES. CARLOS P. GARCIA (PITOGO),BOHOL,320.0
PRES. MANUEL A. ROXAS,ZAMBOANGA DEL NORTE,1665.0
PRESENTACION (PARUBCAN),CAMARINES SUR,1009.0
PRESIDENT QUIRINO,SULTAN KUDARAT,2931.0
PRESIDENT ROXAS,CAPIZ,906.0
PRESIDENT ROXAS,COTABATO (NORTH COTABATO),1112.0
PRIETO DIAZ,SORSOGON,1192.0
PROSPERIDAD,AGUSAN DEL SUR,2599.0
PUALAS,LANAO DEL SUR,2204.0
PUDTOL,APAYAO,627.0
PUERTO GALERA,ORIENTAL MINDORO,1524.0
PUERTO PRINCESA CITY,PALAWAN,10719.0
PUGO,LA UNION,511.0
PULILAN,BULACAN,4562.0
PULUPANDAN,NEGROS OCCIDENTAL,-14.0
PURA,TARLAC,948.0
QUEZON,BUKIDNON,3433.0
QUEZON,ISABELA,-192.0
QUEZON,NUEVA ECIJA,1129.0
QUEZON,NUEVA VIZCAYA,690.0
QUEZON,PALAWAN,2877.0
QUEZON,QUEZON,379.0
QUEZON CITY,NCR,73777.0
QUINAPONDAN,EASTERN SAMAR,-229.0
QUIRINO,ISABELA,425.0
QUIRINO (ANGKAKI),ILOCOS SUR,628.0
RAGAY,CAMARINES SUR,2020.0
RAJAH BUAYAN,MAGUINDANAO,4598.0
RAMON,ISABELA,1504.0
RAMON MAGSAYSAY (LIARGO),ZAMBOANGA DEL SUR,-115.0
RAMOS,TARLAC,982.0
RAPU-RAPU,ALBAY,659.0
REAL,QUEZON,2905.0
REINA MERCEDES,ISABELA,2065.0
REMEDIOS T. ROMUALDEZ,AGUSAN DEL NORTE,750.0
RIZAL,CAGAYAN,490.0
RIZAL,LAGUNA,751.0
RIZAL,NUEVA ECIJA,140.0
RIZAL,OCCIDENTAL MINDORO,2759.0
RIZAL,ZAMBOANGA DEL NORTE,575.0
RIZAL (LIWAN),KALINGA,1359.0
RIZAL (MARCOS),PALAWAN,2228.0
RODRIGUEZ  (MONTALBAN),RIZAL,-7682.0
ROMBLON,ROMBLON,1282.0
RONDA,CEBU,-117.0
ROSALES,PANGASINAN,414.0
ROSARIO,AGUSAN DEL SUR,2043.0
ROSARIO,BATANGAS,5962.0
ROSARIO,CAVITE,9042.0
ROSARIO,LA UNION,1285.0
ROSARIO,NORTHERN SAMAR,605.0
ROSELLER LIM,ZAMBOANGA SIBUGAY,3422.0
ROXAS,ISABELA,2082.0
ROXAS,ORIENTAL MINDORO,5632.0
ROXAS,PALAWAN,1521.0
ROXAS CITY,CAPIZ,5185.0
SABANGAN,MOUNTAIN PROVINCE,749.0
SABLAN,BENGUET,730.0
SABLAYAN,OCCIDENTAL MINDORO,5309.0
SABTANG,BATANES,159.0
SADANGA,MOUNTAIN PROVINCE,116.0
SAGADA,MOUNTAIN PROVINCE,574.0
SAGAY,CAMIGUIN,230.0
SAGAY CITY,NEGROS OCCIDENTAL,2416.0
SAGBAYAN (BORJA),BOHOL,759.0
SAGNAY,CAMARINES SUR,1850.0
SAGUDAY,QUIRINO,538.0
SAGUIARAN,LANAO DEL SUR,4182.0
SAINT BERNARD,SOUTHERN LEYTE,76.0
SALAY,MISAMIS ORIENTAL,823.0
SALCEDO,EASTERN SAMAR,-409.0
SALCEDO (BAUGEN),ILOCOS SUR,123.0
SALLAPADAN,ABRA,-24.0
SALUG,ZAMBOANGA DEL NORTE,223.0
SALVADOR,LANAO DEL NORTE,746.0
SALVADOR BENEDICTO,NEGROS OCCIDENTAL,1123.0
SAMAL,BATAAN,3246.0
SAMBOAN,CEBU,217.0
SAMPALOC,QUEZON,237.0
SAN AGUSTIN,ISABELA,1386.0
SAN AGUSTIN,ROMBLON,723.0
SAN AGUSTIN,SURIGAO DEL SUR,2394.0
SAN ANDRES,QUEZON,3171.0
SAN ANDRES,ROMBLON,347.0
SAN ANDRES (CALOLBON),CATANDUANES,-16.0
SAN ANTONIO,NORTHERN SAMAR,142.0
SAN ANTONIO,NUEVA ECIJA,1705.0
SAN ANTONIO,QUEZON,2026.0
SAN ANTONIO,ZAMBALES,902.0
SAN BENITO,SURIGAO DEL NORTE,876.0
SAN CARLOS CITY,NEGROS OCCIDENTAL,-906.0
SAN CARLOS CITY,PANGASINAN,15113.0
SAN CLEMENTE,TARLAC,71.0
SAN DIONISIO,ILOILO,1214.0
SAN EMILIO,ILOCOS SUR,220.0
SAN ENRIQUE,ILOILO,292.0
SAN ENRIQUE,NEGROS OCCIDENTAL,738.0
SAN ESTEBAN,ILOCOS SUR,220.0
SAN FABIAN,PANGASINAN,5562.0
SAN FELIPE,ZAMBALES,1597.0
SAN FERNANDO,BUKIDNON,3162.0
SAN FERNANDO,CAMARINES SUR,973.0
SAN FERNANDO,CEBU,1493.0
SAN FERNANDO,MASBATE,-340.0
SAN FERNANDO,ROMBLON,-458.0
SAN FERNANDO CITY,PAMPANGA,26445.0
SAN FRANCISCO,AGUSAN DEL SUR,2547.0
SAN FRANCISCO,CEBU,3334.0
SAN FRANCISCO,SOUTHERN LEYTE,320.0
SAN FRANCISCO (ANAO-AON),SURIGAO DEL NORTE,1555.0
SAN FRANCISCO (AURORA),QUEZON,2207.0
SAN GABRIEL,LA UNION,1142.0
SAN GUILLERMO,ISABELA,1382.0
SAN ILDEFONSO,BULACAN,3601.0
SAN ILDEFONSO,ILOCOS SUR,295.0
SAN ISIDRO,ABRA,13.0
